gen	best_combined	mean_combined	best_preq	best_gzip	best_id_base	sigma
0	0.173733	0.068499	0.173901	0.508769	0.000791	0.100000
1	0.187479	0.101030	0.193596	0.449320	0.001023	0.099000
2	0.187276	0.147984	0.198562	0.431580	0.001371	0.098010
3	0.187293	0.168266	0.192038	0.455261	0.001176	0.097030
4	0.191854	0.167430	0.195252	0.462524	0.001356	0.096060
5	0.192967	0.166418	0.197978	0.454712	0.001314	0.095099
6	0.193441	0.164236	0.201449	0.443034	0.001419	0.094148
7	0.195628	0.170784	0.200507	0.455607	0.001564	0.093207
8	0.196879	0.169316	0.207764	0.434387	0.001712	0.092274
9	0.195698	0.164686	0.203045	0.445699	0.001423	0.091352
10	0.196202	0.168549	0.201382	0.454346	0.001560	0.090438
11	0.197737	0.164271	0.211138	0.427572	0.001566	0.089534
12	0.198300	0.168763	0.208993	0.435181	0.001928	0.088638
13	0.199808	0.164193	0.209248	0.439229	0.001850	0.087752
14	0.198361	0.166525	0.211977	0.427124	0.001762	0.086875
15	0.198489	0.167032	0.207267	0.441162	0.001632	0.086006
16	0.199687	0.168812	0.222685	0.406616	0.002343	0.085146
17	0.200142	0.175182	0.211186	0.434448	0.001788	0.084294
18	0.200963	0.171350	0.210959	0.437683	0.002165	0.083451
19	0.203441	0.172018	0.214305	0.435486	0.002021	0.082617
20	0.203703	0.169499	0.217340	0.427999	0.002159	0.081791
21	0.207501	0.174309	0.222647	0.424927	0.001994	0.080973
22	0.204816	0.168512	0.217212	0.431437	0.002172	0.080163
23	0.203654	0.179402	0.219143	0.423421	0.002029	0.079361
24	0.204911	0.173494	0.221016	0.422201	0.002158	0.078568
25	0.207498	0.179407	0.224306	0.421061	0.002301	0.077782
26	0.206948	0.171095	0.215268	0.443848	0.002050	0.077004
27	0.206018	0.177822	0.218259	0.432048	0.001906	0.076234
28	0.207462	0.171373	0.227645	0.413818	0.002474	0.075472
29	0.208094	0.172093	0.230461	0.409627	0.002394	0.074717
30	0.209304	0.174219	0.229576	0.414001	0.002359	0.073970
31	0.209676	0.169556	0.229634	0.414714	0.002391	0.073230
32	0.209181	0.175157	0.227919	0.417155	0.002413	0.072498
33	0.208982	0.175161	0.229283	0.413879	0.002307	0.071773
34	0.214455	0.175608	0.225686	0.436096	0.002234	0.071055
35	0.214769	0.169059	0.227515	0.432088	0.002232	0.070345
36	0.211633	0.166705	0.225489	0.428772	0.002174	0.069641
37	0.212921	0.166838	0.226583	0.429464	0.002199	0.068945
38	0.214036	0.176012	0.222127	0.445516	0.002270	0.068255
39	0.214602	0.176149	0.225514	0.437012	0.002692	0.067573
40	0.215690	0.172729	0.225513	0.440308	0.002737	0.066897
41	0.214657	0.164772	0.231703	0.421814	0.002656	0.066228
42	0.216331	0.164141	0.227396	0.436829	0.002761	0.065566
43	0.216861	0.172170	0.227368	0.438477	0.002702	0.064910
44	0.215637	0.179405	0.226879	0.436239	0.002378	0.064261
45	0.216514	0.174839	0.226164	0.440938	0.002694	0.063619
46	0.215018	0.167745	0.227652	0.432414	0.002536	0.062982
47	0.215279	0.180359	0.231643	0.423442	0.003026	0.062353
48	0.215078	0.180734	0.226736	0.435018	0.002751	0.061729
49	0.215905	0.171931	0.227421	0.435527	0.002614	0.061112
50	0.216365	0.185989	0.220826	0.459595	0.002384	0.060501
51	0.216301	0.176463	0.222899	0.450968	0.002508	0.059896
52	0.216031	0.175716	0.227967	0.434408	0.002712	0.059297
