gen	best_preq	mean_preq	best_id_baseline	sigma
0	0.173901	0.082807	0.000791	0.100000
1	0.218282	0.116752	0.001542	0.099000
2	0.238255	0.174837	0.002189	0.098010
3	0.248264	0.210373	0.002451	0.097030
4	0.258807	0.228553	0.003373	0.096060
5	0.267943	0.252860	0.004193	0.095099
6	0.273460	0.262516	0.005232	0.094148
7	0.278092	0.268565	0.005636	0.093207
8	0.282205	0.273939	0.007373	0.092274
9	0.283905	0.278188	0.007417	0.091352
10	0.287409	0.282440	0.009222	0.090438
11	0.289263	0.285783	0.009438	0.089534
12	0.290606	0.287977	0.009984	0.088638
13	0.291631	0.289215	0.010376	0.087752
14	0.292047	0.289706	0.010407	0.086875
15	0.293046	0.290639	0.010698	0.086006
16	0.294539	0.291436	0.010902	0.085146
17	0.293326	0.291655	0.010881	0.084294
18	0.293517	0.291778	0.010986	0.083451
19	0.293612	0.292001	0.010967	0.082617
20	0.294395	0.292079	0.011345	0.081791
21	0.293687	0.292129	0.011021	0.080973
22	0.293805	0.292363	0.010859	0.080163
23	0.293267	0.292067	0.011069	0.079361
24	0.293611	0.292237	0.011150	0.078568
25	0.295466	0.292119	0.011527	0.077782
26	0.294923	0.292383	0.011322	0.077004
27	0.294646	0.292153	0.011175	0.076234
28	0.293715	0.292071	0.010847	0.075472
29	0.293840	0.292115	0.011288	0.074717
30	0.294222	0.291985	0.011359	0.073970
31	0.293354	0.291963	0.011026	0.073230
32	0.293861	0.292238	0.010922	0.072498
33	0.294110	0.292199	0.011122	0.071773
34	0.294437	0.292332	0.011012	0.071055
35	0.293718	0.292300	0.011003	0.070345
36	0.293620	0.292150	0.010808	0.069641
37	0.293851	0.292354	0.010785	0.068945
38	0.294330	0.292312	0.011173	0.068255
39	0.294218	0.292262	0.010900	0.067573
40	0.294801	0.292415	0.011394	0.066897
41	0.294249	0.292417	0.011308	0.066228
42	0.294203	0.292286	0.011315	0.065566
43	0.294137	0.292426	0.011337	0.064910
44	0.294388	0.292286	0.011376	0.064261
45	0.294071	0.292186	0.011204	0.063619
46	0.293748	0.292120	0.011129	0.062982
47	0.294520	0.292247	0.011413	0.062353
48	0.294127	0.292384	0.011363	0.061729
49	0.293948	0.292340	0.011040	0.061112
50	0.293898	0.292303	0.011198	0.060501
51	0.295029	0.292269	0.011445	0.059896
52	0.294253	0.292221	0.011117	0.059297
53	0.294182	0.292203	0.010895	0.058704
54	0.295083	0.292447	0.011330	0.058117
55	0.294272	0.292271	0.010989	0.057535
56	0.293893	0.292366	0.011044	0.056960
57	0.293987	0.292402	0.011123	0.056391
58	0.293841	0.292190	0.010805	0.055827
59	0.293863	0.292264	0.010793	0.055268
60	0.294033	0.292351	0.010883	0.054716
61	0.294018	0.292089	0.010974	0.054169
62	0.294125	0.292201	0.011333	0.053627
63	0.293922	0.292316	0.011002	0.053091
64	0.294344	0.292282	0.011204	0.052560
65	0.293752	0.292382	0.011111	0.052034
66	0.294789	0.292300	0.011239	0.051514
67	0.293795	0.292401	0.011020	0.050999
68	0.294018	0.292358	0.011242	0.050489
69	0.294143	0.292439	0.011260	0.049984
70	0.294659	0.292432	0.011454	0.049484
71	0.294223	0.292335	0.011006	0.048989
72	0.294025	0.292365	0.011132	0.048499
73	0.294012	0.292243	0.011197	0.048014
74	0.294052	0.292234	0.010721	0.047534
75	0.294063	0.292404	0.011190	0.047059
76	0.293697	0.292266	0.011093	0.046588
77	0.293941	0.292167	0.010892	0.046122
78	0.293914	0.292318	0.011053	0.045661
79	0.295392	0.292281	0.011561	0.045204
80	0.294274	0.292269	0.011149	0.044752
81	0.294703	0.292239	0.011240	0.044305
82	0.293937	0.292239	0.011566	0.043862
83	0.293589	0.292264	0.010986	0.043423
84	0.294613	0.292396	0.011220	0.042989
85	0.294416	0.292394	0.011334	0.042559
86	0.293862	0.292106	0.010750	0.042133
87	0.294340	0.292258	0.011086	0.041712
88	0.293848	0.292406	0.011350	0.041295
89	0.294491	0.292085	0.011105	0.040882
90	0.294101	0.292364	0.011340	0.040473
91	0.294486	0.292166	0.011438	0.040068
92	0.293591	0.292194	0.011139	0.039668
93	0.293814	0.292181	0.011320	0.039271
94	0.294726	0.292240	0.011296	0.038878
95	0.294576	0.292492	0.011504	0.038490
96	0.294180	0.292317	0.011222	0.038105
97	0.294391	0.292164	0.011107	0.037724
98	0.294342	0.292256	0.011193	0.037346
99	0.293586	0.292378	0.011247	0.036973
