idx	preq_gain	preq_length	mse_floor	baseline
0	0.8133	13.3778	0.007809	0.082249
1	0.4863	8.1834	0.000685	0.084132
2	1.5530	26.2104	0.029267	0.084386
3	0.7863	13.1907	0.009237	0.083880
4	0.3558	5.9560	0.000109	0.083703
5	0.7760	12.9184	0.003535	0.083235
6	0.5964	9.8733	0.006103	0.082781
7	0.4196	7.0810	0.000680	0.084387
8	0.5027	8.3636	0.002023	0.083194
9	0.4128	6.8201	0.001169	0.082616
10	0.2622	4.2243	0.000099	0.080552
11	1.0251	17.2312	0.012126	0.084044
12	0.7520	12.7628	0.004381	0.084865
13	0.8212	13.4111	0.006868	0.081659
14	1.0067	16.2037	0.007801	0.080481
15	0.6651	10.7909	0.002523	0.081120
