idx	preq_gain	preq_length	mse_floor	initial_loss	baseline
0	0.0922	7.2522	0.001108	0.394381	0.083912
1	0.0712	9.9366	0.003275	0.700957	0.084958
2	0.0724	6.2592	0.000883	0.433161	0.084929
3	0.0786	6.8992	0.002008	0.440844	0.081390
4	0.1272	4.2864	0.000173	0.168637	0.084205
5	0.0905	8.4155	0.001798	0.466823	0.082392
6	0.0802	7.8778	0.001564	0.492630	0.082173
7	0.1103	7.8988	0.001359	0.359434	0.084039
8	0.1010	7.3562	0.002454	0.366587	0.082321
9	0.0873	8.1054	0.002069	0.466442	0.084169
10	0.1253	5.8972	0.000444	0.235801	0.083389
11	0.0689	9.4529	0.003187	0.689184	0.085507
12	0.0991	6.4352	0.000921	0.325437	0.082483
13	0.0488	12.9822	0.008132	1.337611	0.083444
14	0.0783	6.8133	0.001521	0.436503	0.080881
15	0.0816	6.3581	0.001465	0.391011	0.082222
