idx	preq_gain	preq_length	mse_floor	initial_loss	baseline
0	0.0879	6.8986	0.001196	0.393604	0.085937
1	0.0841	7.4083	0.002749	0.443357	0.085842
2	0.0981	6.0124	0.001653	0.307950	0.088379
3	0.0950	4.3480	0.001011	0.229755	0.069221
4	0.0571	6.9529	0.004780	0.613669	0.082445
5	0.0988	6.7902	0.001512	0.345055	0.083088
6	0.0841	7.1645	0.002890	0.428964	0.080973
7	0.0751	7.7625	0.001861	0.518930	0.088891
8	0.0614	7.5268	0.004336	0.617107	0.075269
9	0.0554	8.0473	0.008748	0.734392	0.077770
10	0.0708	7.1075	0.001262	0.503342	0.078632
11	0.0797	6.3530	0.004352	0.402952	0.088294
12	0.0886	6.5418	0.002380	0.371706	0.083660
13	0.0579	8.3831	0.005191	0.728682	0.086710
14	0.0537	7.5766	0.007353	0.712519	0.078219
15	0.0746	6.4853	0.005591	0.440036	0.077959
16	0.1044	7.2781	0.002045	0.350704	0.095967
17	0.0941	8.5368	0.003715	0.457500	0.083924
18	0.0562	13.4930	0.009783	1.210564	0.086975
19	0.1165	2.8805	0.000242	0.123837	0.068768
20	0.0431	8.4194	0.011286	0.988824	0.074226
21	0.0779	5.1276	0.001104	0.330067	0.087796
22	0.0967	6.5193	0.001275	0.338294	0.084073
23	0.0612	7.2188	0.006455	0.595878	0.085811
24	0.0605	7.8756	0.009471	0.660346	0.073764
25	0.0675	8.4205	0.003659	0.627141	0.087517
26	0.0885	5.0650	0.000634	0.286859	0.097727
27	0.0495	6.7787	0.004705	0.688872	0.074653
28	0.0725	7.3882	0.003235	0.512781	0.088970
29	0.0402	7.6542	0.011784	0.963935	0.070134
30	0.0379	12.5370	0.014912	1.667048	0.081709
31	0.1084	6.2586	0.001666	0.290318	0.085891
32	0.0813	7.4648	0.004142	0.463391	0.082352
33	0.1346	3.5664	0.000088	0.132594	0.087500
34	0.0631	7.3034	0.001916	0.580290	0.088290
35	0.0832	6.8676	0.003991	0.416598	0.072643
36	0.0860	6.1400	0.001406	0.358186	0.083400
37	0.0525	8.3180	0.003982	0.796784	0.080207
38	0.1263	7.2887	0.001057	0.289634	0.094737
39	0.0554	8.7842	0.005016	0.798217	0.083444
40	0.0557	3.8345	0.004953	0.349198	0.055416
41	0.0882	6.4893	0.001262	0.369167	0.098327
42	0.0514	10.3322	0.006815	1.011672	0.084361
43	0.0633	5.9525	0.001126	0.471205	0.079380
44	0.0677	5.0451	0.001055	0.373708	0.081350
45	0.0376	10.2483	0.011899	1.374188	0.073482
46	0.0336	7.6131	0.016775	1.149466	0.067727
47	0.0864	8.5951	0.002875	0.500163	0.081235
48	0.0400	10.9247	0.016984	1.383325	0.074977
49	0.0877	8.0871	0.002592	0.463909	0.095059
50	0.1469	3.8171	0.000171	0.130107	0.088029
51	0.1030	4.8438	0.001301	0.236383	0.084174
52	0.0615	8.4956	0.004780	0.695837	0.086754
53	0.1114	4.9531	0.000790	0.223149	0.070230
54	0.0575	10.2923	0.006057	0.900708	0.080564
55	0.0915	4.6941	0.000416	0.256881	0.082176
56	0.0545	6.6299	0.006341	0.614981	0.075932
57	0.0443	8.6001	0.013409	0.983523	0.069048
58	0.0716	6.8189	0.002654	0.478970	0.084773
59	0.0745	7.6259	0.004033	0.516083	0.077151
60	0.0861	5.8658	0.002360	0.342866	0.074160
61	0.0898	7.0279	0.002921	0.394405	0.084861
62	0.0830	4.1369	0.000341	0.249541	0.075297
63	0.0768	7.7250	0.002561	0.505403	0.086001
