idx	gzip	fixed_gain	fixed_loss	preq_gain	preq_length	entropy_floor	baseline
0	0.6049	0.0410	1.6155	0.1608	54.4493	0.6078	1.6931
1	0.4917	0.0696	1.1741	0.2028	50.5084	0.3679	1.2454
2	0.2104	0.0000	0.0063	0.7848	31.1272	0.0590	0.1983
3	0.4396	0.0892	0.7714	0.2183	40.4777	0.2571	0.9270
4	0.6139	0.0351	1.7819	0.1682	61.9515	0.6628	1.8421
5	0.6000	0.0148	1.5772	0.1724	55.6685	0.6588	1.6142
6	0.4799	0.0962	0.2542	0.2593	34.5586	0.1877	0.6663
7	0.5194	0.0217	1.1720	0.2145	53.1396	0.4756	1.2384
8	0.1403	0.0000	0.0054	0.7430	22.9663	0.0333	0.1545
9	0.4764	0.0521	0.8768	0.2231	45.4190	0.3080	1.0180
10	0.5542	0.0195	1.4706	0.1455	43.6042	0.7834	1.4985
11	0.6167	0.0132	1.7199	0.1608	56.1163	0.6764	1.7448
12	0.5417	0.2237	0.8471	0.1922	47.2887	0.3762	1.2299
13	0.6465	0.0264	1.8744	0.1579	61.5536	0.7219	1.9487
14	0.4264	0.2263	0.2169	0.3026	36.7908	0.1571	0.6079
15	0.2826	0.0561	0.0189	0.4654	32.0890	0.0878	0.3448
16	0.4958	0.0232	1.1639	0.1868	45.9989	0.4966	1.2310
17	0.6125	0.0203	1.6984	0.1571	54.3315	0.6560	1.7291
18	0.4958	0.0655	1.0902	0.1602	38.9604	0.4719	1.2162
19	0.5833	0.0149	1.6559	0.1702	57.2797	0.6329	1.6824
20	0.5819	0.0411	1.4759	0.1825	56.1506	0.4627	1.5385
21	0.3181	0.3874	0.3295	0.2875	35.6742	0.1196	0.6205
22	0.5125	0.0601	1.2892	0.1684	50.3851	0.4419	1.4960
23	0.6417	0.0360	1.8894	0.1718	67.4172	0.6405	1.9620
24	0.5181	0.0136	1.0813	0.1432	33.3531	0.7083	1.1649
25	0.6021	0.0295	1.6633	0.1750	59.9924	0.6397	1.7143
26	0.5785	0.0167	1.4782	0.1867	56.9817	0.5496	1.5258
27	0.5007	0.0499	0.7655	0.2562	47.0316	0.3266	0.9179
28	0.5125	0.0359	1.1368	0.1901	47.3369	0.4275	1.2452
29	0.4993	0.1146	1.0469	0.1953	47.1966	0.2630	1.2081
30	0.2278	0.0194	0.2055	0.4811	32.4522	0.0749	0.3373
31	0.4938	0.0693	1.0692	0.1767	40.5523	0.5061	1.1475
32	0.4806	0.0258	0.7257	0.2631	45.3610	0.3689	0.8620
33	0.6174	0.0163	1.7103	0.1405	49.0048	0.8205	1.7443
34	0.5049	0.0222	0.9845	0.2019	44.4012	0.4262	1.0996
35	0.2951	0.0000	0.0122	0.4049	29.4089	0.0889	0.3632
36	0.4910	0.0332	1.0119	0.1933	44.3907	0.3279	1.1483
37	0.3958	0.2077	0.7684	0.1782	37.7441	0.3167	1.0592
38	0.6028	0.0148	1.6966	0.1568	53.8957	0.7196	1.7186
39	0.5312	0.0189	1.3845	0.1829	52.0666	0.4904	1.4235
40	0.5681	0.0264	1.4434	0.1444	43.2928	0.7225	1.4987
41	0.1854	0.0000	0.0047	0.6750	18.4315	0.0356	0.1365
42	0.5917	0.1027	1.4786	0.1764	58.8533	0.4929	1.6682
43	0.5451	0.0161	1.2887	0.1839	48.5522	0.5181	1.3202
44	0.5424	0.0190	1.4403	0.1965	57.7802	0.5572	1.4705
45	0.4722	0.0403	1.4244	0.1524	45.2367	0.6395	1.4838
46	0.4451	0.0487	1.0035	0.1988	42.9990	0.4169	1.0814
47	0.4799	0.0229	1.0574	0.2162	48.6003	0.4308	1.1238
48	0.5403	0.0307	1.3356	0.1737	50.6435	0.5405	1.4582
49	0.6479	0.0147	1.9369	0.1526	60.1061	0.7848	1.9691
50	0.3715	0.0433	0.7353	0.2657	40.9990	0.1929	0.7715
51	0.5819	0.0310	1.5446	0.1774	56.6203	0.5828	1.5959
52	0.5611	0.0305	1.4172	0.1675	49.6190	0.6583	1.4808
53	0.2083	0.0449	0.2410	0.4185	29.1926	0.0724	0.3488
54	0.5819	0.0200	1.4901	0.1362	41.3864	0.7628	1.5194
55	0.3972	0.2408	0.4635	0.2885	37.5057	0.1956	0.6500
56	0.1986	0.0000	0.0056	0.7221	25.8271	0.0610	0.1788
57	0.6194	0.0531	1.7008	0.1489	53.9018	0.7275	1.8097
58	0.6250	0.0217	1.7722	0.1287	46.9006	0.9615	1.8226
59	0.5312	0.2383	0.9509	0.1775	45.8449	0.3409	1.2916
60	0.6160	0.0172	1.7697	0.1773	64.1753	0.6262	1.8101
61	0.6243	0.0412	1.6503	0.1503	53.0032	0.6736	1.7633
62	0.5465	0.0155	1.4300	0.1577	46.1186	0.6024	1.4620
63	0.5910	0.0171	1.4785	0.1604	48.7799	0.7175	1.5203
