idx	gzip	fixed_gain	fixed_loss	preq_gain	preq_length	preq_floor	preq_baseline	req_gain	req_length	req_floor	req_baseline
0	0.6049	0.0410	1.6155	0.1608	54.4492	0.6078	1.6931	0.1609	54.4440	0.6063	1.6914
1	0.4917	0.0696	1.1741	0.2028	50.5084	0.3679	1.2454	0.2029	50.5072	0.3671	1.2445
2	0.2104	0.0000	0.0063	0.7848	31.1282	0.0590	0.1983	0.7852	31.1271	0.0588	0.1982
3	0.4396	0.0892	0.7714	0.2183	40.4776	0.2571	0.9270	0.2184	40.4775	0.2568	0.9265
4	0.6139	0.0351	1.7819	0.1682	61.9515	0.6628	1.8421	0.1684	61.9729	0.6603	1.8397
5	0.6000	0.0148	1.5772	0.1724	55.6685	0.6588	1.6142	0.1726	55.6169	0.6562	1.6113
6	0.4799	0.0962	0.2542	0.2593	34.5590	0.1877	0.6663	0.2594	34.5473	0.1874	0.6660
7	0.5194	0.0217	1.1720	0.2145	53.1397	0.4756	1.2384	0.2148	53.1326	0.4741	1.2366
8	0.1403	0.0000	0.0054	0.7430	22.9663	0.0333	0.1545	0.7430	22.9527	0.0334	0.1545
9	0.4764	0.0521	0.8768	0.2231	45.4190	0.3080	1.0180	0.2232	45.4423	0.3075	1.0181
10	0.5542	0.0195	1.4706	0.1455	43.6042	0.7834	1.4985	0.1457	43.5913	0.7810	1.4961
11	0.6167	0.0132	1.7199	0.1608	56.1164	0.6764	1.7448	0.1609	56.1015	0.6752	1.7434
12	0.5417	0.2237	0.8471	0.1922	47.2887	0.3762	1.2299	0.1924	47.2729	0.3754	1.2288
13	0.6465	0.0264	1.8744	0.1579	61.5536	0.7219	1.9487	0.1581	61.5735	0.7206	1.9477
14	0.4264	0.2263	0.2169	0.3026	36.7915	0.1571	0.6079	0.3033	36.7565	0.1557	0.6059
15	0.2826	0.0561	0.0189	0.4654	32.0900	0.0878	0.3448	0.4666	32.0950	0.0873	0.3440
16	0.4958	0.0232	1.1639	0.1868	45.9989	0.4966	1.2310	0.1872	46.0015	0.4943	1.2290
17	0.6125	0.0203	1.6984	0.1571	54.3316	0.6560	1.7291	0.1574	54.3566	0.6535	1.7267
18	0.4958	0.0655	1.0902	0.1602	38.9602	0.4719	1.2162	0.1604	38.9450	0.4695	1.2138
19	0.5833	0.0149	1.6559	0.1702	57.2798	0.6329	1.6824	0.1706	57.3073	0.6294	1.6795
20	0.5819	0.0411	1.4759	0.1825	56.1507	0.4627	1.5385	0.1826	56.1451	0.4619	1.5377
21	0.3181	0.3874	0.3295	0.2875	35.6740	0.1196	0.6205	0.2875	35.6727	0.1196	0.6204
22	0.5125	0.0601	1.2892	0.1684	50.3847	0.4419	1.4960	0.1685	50.3718	0.4408	1.4950
23	0.6417	0.0360	1.8894	0.1718	67.4171	0.6405	1.9620	0.1719	67.4266	0.6392	1.9608
24	0.5181	0.0136	1.0813	0.1432	33.3530	0.7083	1.1649	0.1434	33.3590	0.7065	1.1631
25	0.6021	0.0295	1.6633	0.1750	59.9923	0.6397	1.7143	0.1752	59.9797	0.6373	1.7116
26	0.5785	0.0167	1.4782	0.1867	56.9818	0.5496	1.5258	0.1868	56.9775	0.5486	1.5248
27	0.5007	0.0499	0.7655	0.2562	47.0317	0.3266	0.9179	0.2563	47.0248	0.3261	0.9173
28	0.5125	0.0359	1.1368	0.1901	47.3372	0.4275	1.2452	0.1902	47.3095	0.4265	1.2439
29	0.4993	0.1146	1.0469	0.1953	47.1968	0.2630	1.2081	0.1955	47.2033	0.2622	1.2074
