idx	quadrant	gzip	gain_k1	gain_k2	gain_k4	gain_k8	gain_k16
0	IV_target	0.6049	0.6410	0.2100	0.0867	0.0410	0.0441
1	I_fixed	0.4917	0.7046	0.2928	0.1549	0.0696	0.0275
2	I_fixed	0.2104	0.7027	0.4692	0.1319	0.0000	0.0000
3	I_fixed	0.4396	0.7227	0.3766	0.2378	0.0892	0.0344
4	IV_target	0.6139	0.6402	0.1523	0.0658	0.0351	0.0407
5	III_chaos	0.6000	0.5919	0.1109	0.0240	0.0148	0.0304
6	II_ordered	0.4799	0.7184	0.3041	0.1324	0.0962	0.0863
7	II_ordered	0.5194	0.6160	0.1970	0.0468	0.0217	0.0402
8	I_fixed	0.1403	0.7845	0.4656	0.0000	0.0000	0.0000
9	II_ordered	0.4764	0.6975	0.2865	0.1139	0.0521	0.0599
10	III_chaos	0.5542	0.4772	0.1054	0.0266	0.0195	0.0364
11	III_chaos	0.6167	0.6124	0.1245	0.0210	0.0132	0.0323
12	IV_target	0.5417	0.6941	0.4147	0.3060	0.2237	0.1625
13	IV_target	0.6465	0.6295	0.1898	0.0676	0.0264	0.0394
14	II_ordered	0.4264	0.7415	0.4627	0.2665	0.2263	0.3250
15	I_fixed	0.2826	0.7453	0.4536	0.3018	0.0561	0.0000
16	I_fixed	0.4958	0.5966	0.1730	0.0595	0.0232	0.0361
17	III_chaos	0.6125	0.6206	0.1737	0.0444	0.0203	0.0332
18	I_fixed	0.4958	0.6120	0.3118	0.1845	0.0655	0.0371
19	III_chaos	0.5833	0.6238	0.1519	0.0377	0.0149	0.0293
20	III_chaos	0.5819	0.6992	0.2087	0.0986	0.0411	0.0314
21	II_ordered	0.3181	0.8072	0.6418	0.5419	0.3874	0.1616
22	II_ordered	0.5125	0.7046	0.3694	0.1804	0.0601	0.0425
23	III_chaos	0.6417	0.6735	0.1599	0.0665	0.0360	0.0356
24	I_fixed	0.5181	0.3920	0.0558	0.0124	0.0136	0.0315
25	IV_target	0.6021	0.6268	0.1755	0.0558	0.0295	0.0508
26	III_chaos	0.5785	0.6398	0.1468	0.0286	0.0167	0.0326
27	II_ordered	0.5007	0.6442	0.3098	0.1378	0.0499	0.0486
28	I_fixed	0.5125	0.6567	0.2192	0.0825	0.0359	0.0267
29	II_ordered	0.4993	0.7823	0.3968	0.2475	0.1146	0.0420
30	II_ordered	0.2278	0.7780	0.6697	0.1375	0.0194	0.0376
31	II_ordered	0.4938	0.5590	0.2230	0.1181	0.0693	0.0482
32	II_ordered	0.4806	0.5720	0.1497	0.0355	0.0258	0.0603
33	III_chaos	0.6174	0.5296	0.0761	0.0202	0.0163	0.0331
34	II_ordered	0.5049	0.6124	0.1525	0.0253	0.0222	0.0485
35	I_fixed	0.2951	0.7551	0.4797	0.3022	0.0000	0.0000
36	II_ordered	0.4910	0.7144	0.1954	0.0745	0.0332	0.0394
37	II_ordered	0.3958	0.7011	0.3742	0.2857	0.2077	0.1196
38	III_chaos	0.6028	0.5813	0.0885	0.0157	0.0148	0.0339
39	III_chaos	0.5312	0.6555	0.2202	0.0691	0.0189	0.0298
40	III_chaos	0.5681	0.5179	0.1465	0.0530	0.0264	0.0295
41	I_fixed	0.1854	0.7395	0.5403	0.0000	0.0000	0.0000
42	IV_target	0.5917	0.7045	0.3151	0.2121	0.1027	0.0524
43	III_chaos	0.5451	0.6075	0.1368	0.0336	0.0161	0.0341
44	IV_target	0.5424	0.6211	0.0959	0.0226	0.0190	0.0411
45	II_ordered	0.4722	0.5690	0.1600	0.0730	0.0403	0.0488
46	II_ordered	0.4451	0.6144	0.2397	0.1071	0.0487	0.0454
47	II_ordered	0.4799	0.6167	0.1296	0.0288	0.0229	0.0401
48	IV_target	0.5403	0.6293	0.1823	0.0724	0.0307	0.0472
49	III_chaos	0.6479	0.6015	0.1036	0.0232	0.0147	0.0330
50	I_fixed	0.3715	0.7500	0.3862	0.1703	0.0433	0.0331
51	III_chaos	0.5819	0.6348	0.1652	0.0627	0.0310	0.0312
52	IV_target	0.5611	0.5554	0.1407	0.0538	0.0305	0.0421
53	II_ordered	0.2083	0.7925	0.1350	0.0466	0.0449	0.0517
54	III_chaos	0.5819	0.4979	0.1162	0.0329	0.0200	0.0370
55	II_ordered	0.3972	0.6991	0.3731	0.2921	0.2408	0.1541
56	I_fixed	0.1986	0.6589	0.3890	0.3404	0.0000	0.0000
57	IV_target	0.6194	0.5980	0.1936	0.0869	0.0531	0.0480
58	IV_target	0.6250	0.4725	0.0782	0.0179	0.0217	0.0393
59	IV_target	0.5312	0.7360	0.4814	0.3716	0.2383	0.0879
60	III_chaos	0.6160	0.6541	0.1279	0.0307	0.0172	0.0315
61	IV_target	0.6243	0.6180	0.1853	0.0769	0.0412	0.0488
62	III_chaos	0.5465	0.5880	0.1196	0.0208	0.0155	0.0327
63	III_chaos	0.5910	0.5280	0.1029	0.0214	0.0171	0.0346
