idx	gzip	gain	final_loss	baseline
0	0.6049	0.0410	1.6155	1.6845
1	0.4917	0.0696	1.1741	1.2619
2	0.2104	0.0000	0.0063	-0.0000
3	0.4396	0.0892	0.7714	0.8470
4	0.6139	0.0351	1.7819	1.8468
5	0.6000	0.0148	1.5772	1.6009
6	0.4799	0.0962	0.2542	0.2812
7	0.5194	0.0217	1.1720	1.1979
8	0.1403	0.0000	0.0054	-0.0000
9	0.4764	0.0521	0.8768	0.9250
10	0.5542	0.0195	1.4706	1.4999
11	0.6167	0.0132	1.7199	1.7429
12	0.5417	0.2237	0.8471	1.0912
13	0.6465	0.0264	1.8744	1.9253
14	0.4264	0.2263	0.2169	0.2803
15	0.2826	0.0561	0.0189	0.0200
16	0.4958	0.0232	1.1639	1.1916
17	0.6125	0.0203	1.6984	1.7336
18	0.4958	0.0655	1.0902	1.1666
19	0.5833	0.0149	1.6559	1.6809
20	0.5819	0.0411	1.4759	1.5391
21	0.3181	0.3874	0.3295	0.5378
22	0.5125	0.0601	1.2892	1.3717
23	0.6417	0.0360	1.8894	1.9600
24	0.5181	0.0136	1.0813	1.0961
25	0.6021	0.0295	1.6633	1.7139
26	0.5785	0.0167	1.4782	1.5034
27	0.5007	0.0499	0.7655	0.8057
28	0.5125	0.0359	1.1368	1.1792
29	0.4993	0.1146	1.0469	1.1824
30	0.2278	0.0194	0.2055	0.2096
31	0.4938	0.0693	1.0692	1.1488
32	0.4806	0.0258	0.7257	0.7450
33	0.6174	0.0163	1.7103	1.7387
34	0.5049	0.0222	0.9845	1.0069
35	0.2951	0.0000	0.0122	0.0107
36	0.4910	0.0332	1.0119	1.0467
37	0.3958	0.2077	0.7684	0.9698
38	0.6028	0.0148	1.6966	1.7220
39	0.5312	0.0189	1.3845	1.4111
40	0.5681	0.0264	1.4434	1.4825
41	0.1854	0.0000	0.0047	-0.0000
42	0.5917	0.1027	1.4786	1.6478
43	0.5451	0.0161	1.2887	1.3098
44	0.5424	0.0190	1.4403	1.4683
45	0.4722	0.0403	1.4244	1.4842
46	0.4451	0.0487	1.0035	1.0549
47	0.4799	0.0229	1.0574	1.0822
48	0.5403	0.0307	1.3356	1.3778
49	0.6479	0.0147	1.9369	1.9657
50	0.3715	0.0433	0.7353	0.7686
51	0.5819	0.0310	1.5446	1.5940
52	0.5611	0.0305	1.4172	1.4618
53	0.2083	0.0449	0.2410	0.2523
54	0.5819	0.0200	1.4901	1.5205
55	0.3972	0.2408	0.4635	0.6105
56	0.1986	0.0000	0.0056	-0.0000
57	0.6194	0.0531	1.7008	1.7962
58	0.6250	0.0217	1.7722	1.8114
59	0.5312	0.2383	0.9509	1.2484
60	0.6160	0.0172	1.7697	1.8006
61	0.6243	0.0412	1.6503	1.7212
62	0.5465	0.0155	1.4300	1.4526
63	0.5910	0.0171	1.4785	1.5043
