gen	best_preq_gain	mean_preq_gain	best_preq_length	best_preq_gain	best_id_baseline	sigma
0	0.211676	0.111985	1.207363	0.211676	0.128215	0.100000
1	0.141466	0.113707	3.054298	0.141466	0.468471	0.099500
2	0.210422	0.168779	1.028015	0.210422	0.107861	0.099003
3	0.304566	0.265414	0.505460	0.304566	0.039031	0.098507
4	0.264533	0.212864	0.732163	0.264533	0.064961	0.098015
5	0.251159	0.179365	0.557085	0.251159	0.053636	0.097525
6	0.226783	0.191498	1.934744	0.226783	0.197995	0.097037
7	0.183058	0.157341	2.362711	0.183058	0.272487	0.096552
8	0.278178	0.244874	0.697591	0.278178	0.061417	0.096069
9	0.244557	0.194029	0.467234	0.244557	0.042196	0.095589
10	0.196667	0.177813	0.841441	0.196667	0.092446	0.095111
11	0.329466	0.257296	0.454162	0.329466	0.036267	0.094635
12	0.241643	0.216047	0.708898	0.241643	0.065925	0.094162
13	0.201660	0.171216	1.452585	0.201660	0.156335	0.093691
14	0.256951	0.231124	0.771559	0.256951	0.070528	0.093223
15	0.278184	0.245980	0.677780	0.278184	0.057252	0.092757
16	0.295516	0.236964	1.136169	0.295516	0.094512	0.092293
17	0.292075	0.257832	1.291736	0.292075	0.107363	0.091832
18	0.257280	0.226187	1.257963	0.257280	0.111004	0.091372
19	0.211377	0.185924	1.232028	0.211377	0.126207	0.090916
20	0.272250	0.248232	1.873229	0.272250	0.159163	0.090461
21	0.265335	0.243082	1.742115	0.265335	0.151755	0.090009
22	0.259570	0.234607	0.965266	0.259570	0.083212	0.089559
23	0.235960	0.217954	1.020606	0.235960	0.094838	0.089111
24	0.258289	0.238151	1.250291	0.258289	0.108766	0.088665
25	0.291202	0.250488	1.073484	0.291202	0.084884	0.088222
26	0.298279	0.272497	1.519514	0.298279	0.117098	0.087781
27	0.313430	0.288043	2.016982	0.313430	0.153335	0.087342
28	0.301400	0.276654	1.302364	0.301400	0.095292	0.086905
29	0.291875	0.273100	1.608906	0.291875	0.123971	0.086471
30	0.246560	0.227809	2.470961	0.246560	0.231436	0.086038
31	0.305025	0.278536	1.673454	0.305025	0.129983	0.085608
32	0.277555	0.258347	1.301233	0.277555	0.102594	0.085180
33	0.258452	0.237132	1.237553	0.258452	0.109285	0.084754
34	0.321184	0.302222	2.078860	0.321184	0.153278	0.084331
35	0.291125	0.277391	1.727294	0.291125	0.137196	0.083909
36	0.279229	0.258808	1.712384	0.279229	0.137995	0.083489
37	0.320267	0.288568	1.910786	0.320267	0.145524	0.083072
38	0.326239	0.305206	1.938638	0.326239	0.143427	0.082657
39	0.275308	0.253796	1.116251	0.275308	0.088557	0.082243
40	0.295952	0.278272	2.226325	0.295952	0.177462	0.081832
41	0.318870	0.302080	2.007246	0.318870	0.148131	0.081423
42	0.312279	0.284899	1.571219	0.312279	0.113985	0.081016
43	0.286602	0.273783	1.334421	0.286602	0.102213	0.080611
44	0.317209	0.293370	2.089083	0.317209	0.153576	0.080208
45	0.336357	0.308674	2.452502	0.336357	0.181621	0.079807
46	0.237535	0.221909	1.413236	0.237535	0.129848	0.079408
47	0.356997	0.331423	2.539037	0.356997	0.178937	0.079010
48	0.325864	0.301714	2.021233	0.325864	0.150423	0.078615
49	0.298570	0.281029	1.798431	0.298570	0.133491	0.078222
50	0.244127	0.236760	1.121958	0.244127	0.098244	0.077831
51	0.270179	0.256522	1.229488	0.270179	0.096867	0.077442
52	0.299851	0.287904	1.734991	0.299851	0.131136	0.077055
53	0.260525	0.251416	1.160842	0.260525	0.094918	0.076670
54	0.291777	0.272535	1.549721	0.291777	0.119618	0.076286
55	0.287630	0.275917	1.455688	0.287630	0.112004	0.075905
56	0.272974	0.259880	1.110814	0.272974	0.090957	0.075525
57	0.287834	0.269845	1.283534	0.287834	0.099182	0.075148
58	0.312328	0.295617	1.632604	0.312328	0.121147	0.074772
59	0.287983	0.267749	1.655097	0.287983	0.131277	0.074398
