gen	best_preq_length	mean_preq_length	best_preq_length	best_preq_gain	best_id_baseline	sigma
0	0.222907	0.080759	0.222907	1.000000	0.000703	0.100000
1	0.244160	0.129983	0.244160	1.000000	0.000900	0.099500
2	0.267019	0.190235	0.267019	1.000000	0.001355	0.099003
3	0.278109	0.233236	0.278109	1.000000	0.001770	0.098507
4	0.285816	0.260502	0.285816	1.000000	0.002214	0.098015
5	0.290982	0.274196	0.290982	1.000000	0.002652	0.097525
6	0.294578	0.284312	0.294578	1.000000	0.002541	0.097037
7	0.295888	0.289768	0.295888	1.000000	0.002538	0.096552
8	0.298474	0.294161	0.298474	1.000000	0.002096	0.096069
9	0.301238	0.296853	0.301238	1.000000	0.002011	0.095589
10	0.303615	0.299423	0.303615	1.000000	0.001531	0.095111
11	0.306515	0.302185	0.306515	1.000000	0.000971	0.094635
12	0.309511	0.304761	0.309511	1.000000	0.000538	0.094162
13	0.311116	0.307350	0.311116	1.000000	0.000196	0.093691
14	0.312245	0.308940	0.312245	1.000000	0.000094	0.093223
15	0.313132	0.311133	0.313132	1.000000	0.000029	0.092757
16	0.313333	0.312232	0.313333	1.000000	0.000016	0.092293
17	0.313378	0.311219	0.313378	1.000000	0.000011	0.091832
18	0.313407	0.310072	0.313407	1.000000	0.000008	0.091372
19	0.313404	0.308816	0.313404	1.000000	0.000010	0.090916
20	0.313410	0.303276	0.313410	1.000000	0.000008	0.090461
21	0.313407	0.309690	0.313407	1.000000	0.000007	0.090009
22	0.313408	0.308132	0.313408	1.000000	0.000006	0.089559
23	0.313408	0.306328	0.313408	1.000000	0.000013	0.089111
24	0.313410	0.306688	0.313410	1.000000	0.000008	0.088665
25	0.313409	0.308225	0.313409	1.000000	0.000009	0.088222
26	0.313405	0.301636	0.313405	1.000000	0.000007	0.087781
27	0.313411	0.305836	0.313411	1.000000	0.000010	0.087342
28	0.313410	0.307442	0.313410	1.000000	0.000008	0.086905
29	0.313404	0.308072	0.313404	1.000000	0.000006	0.086471
30	0.313407	0.303272	0.313407	1.000000	0.000011	0.086038
31	0.313410	0.306364	0.313410	1.000000	0.000010	0.085608
32	0.313407	0.304942	0.313407	1.000000	0.000008	0.085180
33	0.313410	0.306511	0.313410	1.000000	0.000007	0.084754
34	0.313407	0.304349	0.313407	1.000000	0.000010	0.084331
35	0.313405	0.308101	0.313405	1.000000	0.000011	0.083909
36	0.313411	0.302549	0.313411	1.000000	0.000008	0.083489
37	0.313410	0.304128	0.313410	1.000000	0.000012	0.083072
38	0.313410	0.297509	0.313410	1.000000	0.000011	0.082657
39	0.313411	0.306372	0.313411	1.000000	0.000012	0.082243
40	0.313412	0.299219	0.313412	1.000000	0.000008	0.081832
41	0.313405	0.303836	0.313405	1.000000	0.000007	0.081423
42	0.313410	0.307465	0.313410	1.000000	0.000009	0.081016
43	0.313409	0.306577	0.313409	1.000000	0.000010	0.080611
44	0.313408	0.309115	0.313408	1.000000	0.000015	0.080208
45	0.313411	0.302557	0.313411	1.000000	0.000011	0.079807
46	0.313407	0.301702	0.313407	1.000000	0.000015	0.079408
47	0.313411	0.303293	0.313411	1.000000	0.000011	0.079010
48	0.313411	0.300902	0.313411	1.000000	0.000012	0.078615
49	0.313409	0.299971	0.313409	1.000000	0.000011	0.078222
50	0.313409	0.307369	0.313409	1.000000	0.000012	0.077831
51	0.313411	0.300838	0.313411	1.000000	0.000008	0.077442
52	0.313409	0.304982	0.313409	1.000000	0.000009	0.077055
53	0.313407	0.304085	0.313407	1.000000	0.000011	0.076670
54	0.313409	0.296617	0.313409	1.000000	0.000010	0.076286
55	0.313406	0.303378	0.313406	1.000000	0.000008	0.075905
56	0.313410	0.305099	0.313410	1.000000	0.000020	0.075525
57	0.313407	0.307498	0.313407	1.000000	0.000013	0.075148
58	0.313403	0.309935	0.313403	1.000000	0.000016	0.074772
59	0.313410	0.294234	0.313410	1.000000	0.000015	0.074398
60	0.313405	0.296788	0.313405	1.000000	0.000011	0.074026
61	0.313410	0.304969	0.313410	1.000000	0.000014	0.073656
62	0.313410	0.305604	0.313410	1.000000	0.000008	0.073288
63	0.313410	0.302883	0.313410	1.000000	0.000011	0.072921
64	0.313411	0.305757	0.313411	1.000000	0.000009	0.072557
65	0.313407	0.305448	0.313407	1.000000	0.000014	0.072194
66	0.313408	0.301996	0.313408	1.000000	0.000009	0.071833
67	0.313409	0.306641	0.313409	1.000000	0.000009	0.071474
68	0.313411	0.311581	0.313411	1.000000	0.000013	0.071116
69	0.313409	0.304551	0.313409	1.000000	0.000015	0.070761
70	0.313408	0.305653	0.313408	1.000000	0.000009	0.070407
71	0.313410	0.301785	0.313410	1.000000	0.000009	0.070055
72	0.313408	0.307426	0.313408	1.000000	0.000017	0.069705
73	0.313409	0.309980	0.313409	1.000000	0.000016	0.069356
74	0.313407	0.300030	0.313407	1.000000	0.000012	0.069009
75	0.313409	0.307438	0.313409	1.000000	0.000014	0.068664
76	0.313407	0.300827	0.313407	1.000000	0.000014	0.068321
77	0.313410	0.305781	0.313410	1.000000	0.000007	0.067979
78	0.313409	0.305858	0.313409	1.000000	0.000013	0.067639
79	0.313408	0.300888	0.313408	1.000000	0.000011	0.067301
80	0.313409	0.297683	0.313409	1.000000	0.000014	0.066965
81	0.313411	0.303380	0.313411	1.000000	0.000013	0.066630
82	0.313411	0.301647	0.313411	1.000000	0.000014	0.066297
83	0.313409	0.298480	0.313409	1.000000	0.000010	0.065965
84	0.313410	0.305593	0.313410	1.000000	0.000015	0.065635
85	0.313410	0.306175	0.313410	1.000000	0.000012	0.065307
86	0.313411	0.307510	0.313411	1.000000	0.000013	0.064981
87	0.313407	0.306703	0.313407	1.000000	0.000013	0.064656
88	0.313411	0.303516	0.313411	1.000000	0.000009	0.064333
89	0.313408	0.308262	0.313408	1.000000	0.000012	0.064011
90	0.313408	0.305792	0.313408	1.000000	0.000016	0.063691
91	0.313411	0.300397	0.313411	1.000000	0.000014	0.063372
92	0.313409	0.297256	0.313409	1.000000	0.000015	0.063056
93	0.313411	0.301679	0.313411	1.000000	0.000012	0.062740
94	0.313412	0.298159	0.313412	1.000000	0.000008	0.062427
95	0.313412	0.303207	0.313412	1.000000	0.000009	0.062114
96	0.313408	0.311609	0.313408	1.000000	0.000023	0.061804
97	0.313408	0.304066	0.313408	1.000000	0.000012	0.061495
98	0.313411	0.297672	0.313411	1.000000	0.000012	0.061187
99	0.313406	0.304157	0.313406	1.000000	0.000018	0.060881
100	0.313409	0.307251	0.313409	1.000000	0.000009	0.060577
101	0.313409	0.308966	0.313409	1.000000	0.000017	0.060274
102	0.313408	0.305739	0.313408	1.000000	0.000011	0.059973
103	0.313410	0.304986	0.313410	1.000000	0.000009	0.059673
104	0.313407	0.306691	0.313407	1.000000	0.000024	0.059375
105	0.313409	0.303414	0.313409	1.000000	0.000013	0.059078
106	0.313409	0.304202	0.313409	1.000000	0.000014	0.058782
107	0.313408	0.297288	0.313408	1.000000	0.000014	0.058488
108	0.313410	0.297557	0.313410	1.000000	0.000011	0.058196
109	0.313410	0.297516	0.313410	1.000000	0.000007	0.057905
110	0.313409	0.300897	0.313409	1.000000	0.000015	0.057615
111	0.313405	0.304845	0.313405	1.000000	0.000013	0.057327
112	0.313410	0.305797	0.313410	1.000000	0.000013	0.057041
113	0.313408	0.306673	0.313408	1.000000	0.000015	0.056756
114	0.313409	0.304236	0.313409	1.000000	0.000013	0.056472
115	0.313407	0.309049	0.313407	1.000000	0.000008	0.056189
116	0.313409	0.309079	0.313409	1.000000	0.000018	0.055908
117	0.313410	0.301191	0.313410	1.000000	0.000012	0.055629
118	0.313410	0.306636	0.313410	1.000000	0.000014	0.055351
119	0.313409	0.305828	0.313409	1.000000	0.000013	0.055074
120	0.313410	0.301580	0.313410	1.000000	0.000007	0.054799
121	0.313410	0.303892	0.313410	1.000000	0.000013	0.054525
122	0.313407	0.305689	0.313407	1.000000	0.000019	0.054252
123	0.313408	0.308350	0.313408	1.000000	0.000011	0.053981
124	0.313409	0.309561	0.313409	1.000000	0.000009	0.053711
125	0.313410	0.310835	0.313410	1.000000	0.000009	0.053442
126	0.313410	0.306583	0.313410	1.000000	0.000011	0.053175
127	0.313409	0.307481	0.313409	1.000000	0.000017	0.052909
128	0.313410	0.306690	0.313410	1.000000	0.000009	0.052645
129	0.313409	0.305858	0.313409	1.000000	0.000011	0.052381
130	0.313411	0.308269	0.313411	1.000000	0.000015	0.052120
131	0.313410	0.309114	0.313410	1.000000	0.000014	0.051859
132	0.313410	0.312415	0.313410	1.000000	0.000011	0.051600
133	0.313407	0.309954	0.313407	1.000000	0.000018	0.051342
134	0.313409	0.308334	0.313409	1.000000	0.000010	0.051085
135	0.313409	0.303402	0.313409	1.000000	0.000018	0.050830
136	0.313410	0.307920	0.313410	1.000000	0.000018	0.050575
137	0.313411	0.310485	0.313411	1.000000	0.000014	0.050322
138	0.313409	0.308267	0.313409	1.000000	0.000019	0.050071
139	0.313411	0.311586	0.313411	1.000000	0.000010	0.049821
140	0.313410	0.310245	0.313410	1.000000	0.000010	0.049571
141	0.313406	0.309974	0.313406	1.000000	0.000010	0.049324
142	0.313409	0.310767	0.313409	1.000000	0.000011	0.049077
143	0.313411	0.304938	0.313411	1.000000	0.000011	0.048832
144	0.313411	0.306642	0.313411	1.000000	0.000011	0.048587
145	0.313411	0.308985	0.313411	1.000000	0.000010	0.048344
146	0.313411	0.308213	0.313411	1.000000	0.000009	0.048103
147	0.313410	0.310032	0.313410	1.000000	0.000010	0.047862
148	0.313409	0.310814	0.313409	1.000000	0.000008	0.047623
149	0.313411	0.307515	0.313411	1.000000	0.000010	0.047385
150	0.313410	0.310805	0.313410	1.000000	0.000013	0.047148
151	0.313410	0.306291	0.313410	1.000000	0.000011	0.046912
152	0.313409	0.312339	0.313409	1.000000	0.000010	0.046678
153	0.313404	0.308324	0.313404	1.000000	0.000012	0.046444
154	0.313412	0.311530	0.313412	1.000000	0.000011	0.046212
155	0.313407	0.303430	0.313407	1.000000	0.000012	0.045981
156	0.313406	0.308043	0.313406	1.000000	0.000007	0.045751
157	0.313410	0.307094	0.313410	1.000000	0.000012	0.045522
158	0.313411	0.309164	0.313411	1.000000	0.000012	0.045295
159	0.313408	0.306880	0.313408	1.000000	0.000012	0.045068
160	0.313412	0.308353	0.313412	1.000000	0.000010	0.044843
161	0.313411	0.309048	0.313411	1.000000	0.000012	0.044619
162	0.313412	0.304147	0.313412	1.000000	0.000010	0.044396
163	0.313405	0.305542	0.313405	1.000000	0.000009	0.044174
164	0.313408	0.307821	0.313408	1.000000	0.000010	0.043953
165	0.313407	0.308303	0.313407	1.000000	0.000011	0.043733
166	0.313406	0.311249	0.313406	1.000000	0.000014	0.043514
167	0.313409	0.306699	0.313409	1.000000	0.000010	0.043297
168	0.313410	0.305858	0.313410	1.000000	0.000010	0.043080
169	0.313408	0.307516	0.313408	1.000000	0.000012	0.042865
170	0.313411	0.309919	0.313411	1.000000	0.000010	0.042650
171	0.313407	0.306681	0.313407	1.000000	0.000011	0.042437
172	0.313408	0.307493	0.313408	1.000000	0.000012	0.042225
173	0.313410	0.309186	0.313410	1.000000	0.000009	0.042014
174	0.313410	0.303399	0.313410	1.000000	0.000014	0.041804
175	0.313411	0.308256	0.313411	1.000000	0.000008	0.041595
176	0.313410	0.311642	0.313410	1.000000	0.000014	0.041387
177	0.313412	0.307496	0.313412	1.000000	0.000014	0.041180
178	0.313408	0.309946	0.313408	1.000000	0.000016	0.040974
179	0.313407	0.306697	0.313407	1.000000	0.000016	0.040769
