gen	best_preq_length	mean_preq_length	best_preq_length	best_preq_gain	best_id_baseline	sigma
0	5.938479	3.193971	5.938479	0.074233	1.631359	0.100000
1	19.177071	11.718859	19.177071	0.085973	4.493312	0.099500
2	5.332479	4.405633	5.332479	0.075203	1.432855	0.099003
3	2.197648	1.152870	2.197648	0.146558	0.333574	0.098507
4	3.181927	2.164642	3.181927	0.128713	0.543513	0.098015
5	8.110571	5.563406	8.110571	0.090277	1.830950	0.097525
6	7.174963	6.412442	7.174963	0.091483	1.594277	0.097037
7	10.140282	6.776637	10.140282	0.080177	2.543298	0.096552
8	3.123902	2.518316	3.123902	0.108188	0.609199	0.096069
9	9.867763	7.969944	9.867763	0.079161	2.502369	0.095589
10	9.233909	8.145502	9.233909	0.089677	2.077706	0.095111
11	1.982200	0.771087	1.982200	0.169342	0.263252	0.094635
12	4.673324	3.887870	4.673324	0.089551	1.060858	0.094162
13	11.270050	8.570375	11.270050	0.079005	2.868245	0.093691
14	2.083256	1.311122	2.083256	0.099071	0.437637	0.093223
15	3.313419	2.371787	3.313419	0.109905	0.629906	0.092757
16	2.857486	2.073312	2.857486	0.121592	0.506784	0.092293
17	4.649799	3.391900	4.649799	0.103739	0.919511	0.091832
18	5.537921	4.475740	5.537921	0.094167	1.223006	0.091372
19	7.541556	6.183561	7.541556	0.075190	2.016417	0.090916
20	6.826529	6.295388	6.826529	0.074489	1.840229	0.090461
21	6.817983	5.816211	6.817983	0.100622	1.393507	0.090009
22	2.803741	2.226248	2.803741	0.097373	0.598853	0.089559
23	9.657808	8.064861	9.657808	0.076879	2.521708	0.089111
24	4.434220	3.972093	4.434220	0.091972	0.989493	0.088665
25	4.751180	4.140968	4.751180	0.088729	1.104917	0.088222
26	2.979060	2.254339	2.979060	0.102612	0.613098	0.087781
27	2.730414	1.429248	2.730414	0.141472	0.414935	0.087342
28	3.958325	1.962995	3.958325	0.169733	0.506235	0.086905
29	2.395986	1.830993	2.395986	0.214638	0.250144	0.086471
30	7.680509	5.990810	7.680509	0.097478	1.587434	0.086038
31	6.402235	4.420610	6.402235	0.111225	1.193506	0.085608
32	3.202944	2.394242	3.202944	0.156395	0.462555	0.085180
33	8.044952	6.344193	8.044952	0.107344	1.536366	0.084754
34	4.861460	3.701458	4.861460	0.116965	0.872669	0.084331
35	3.818357	3.014626	3.818357	0.135135	0.601190	0.083909
36	5.200042	3.531351	5.200042	0.073670	1.424642	0.083489
37	8.516766	7.076694	8.516766	0.085846	2.007964	0.083072
38	4.390005	3.236878	4.390005	0.086870	1.022700	0.082657
39	2.886117	2.129361	2.886117	0.177239	0.347845	0.082243
40	7.033892	6.182206	7.033892	0.088411	1.618664	0.081832
41	3.415841	2.554055	3.415841	0.146835	0.490672	0.081423
42	3.759464	3.011348	3.759464	0.107431	0.723703	0.081016
43	2.409385	1.758125	2.409385	0.143043	0.356612	0.080611
44	5.513847	4.404531	5.513847	0.127011	0.913648	0.080208
45	4.394766	3.373169	4.394766	0.122890	0.764210	0.079807
46	6.429662	5.871577	6.429662	0.101273	1.284788	0.079408
47	4.633744	3.449499	4.633744	0.116746	0.825203	0.079010
48	5.853773	4.286505	5.853773	0.153000	0.804113	0.078615
49	6.837067	5.664610	6.837067	0.148286	0.972232	0.078222
50	4.637447	3.976503	4.637447	0.143560	0.690721	0.077831
51	5.530085	4.528507	5.530085	0.173970	0.675463	0.077442
52	5.964548	4.838631	5.964548	0.157866	0.801936	0.077055
53	2.250458	1.849442	2.250458	0.232461	0.216810	0.076670
54	7.751403	6.574408	7.751403	0.130628	1.240538	0.076286
55	6.475732	5.391990	6.475732	0.142137	0.958935	0.075905
