gen	best_combined	mean_combined	best_preq	best_gzip	best_id_base	sigma
0	0.124535	0.068051	0.126786	0.912150	0.000145	0.100000
1	0.131362	0.095072	0.138007	0.887166	0.000201	0.099500
2	0.135608	0.095594	0.143678	0.881999	0.000209	0.099003
3	0.136355	0.098633	0.156724	0.844462	0.000274	0.098507
4	0.135592	0.099926	0.147055	0.869425	0.000233	0.098015
5	0.136593	0.096246	0.159305	0.839071	0.000272	0.097525
6	0.137762	0.100872	0.155068	0.852702	0.000243	0.097037
7	0.139669	0.097967	0.149198	0.877340	0.000227	0.096552
8	0.137965	0.103040	0.155167	0.853048	0.000278	0.096069
9	0.140450	0.102202	0.150260	0.876506	0.000233	0.095589
10	0.143385	0.103734	0.157193	0.864237	0.000267	0.095111
11	0.141351	0.112188	0.154977	0.864197	0.000325	0.094635
12	0.143649	0.100445	0.152202	0.881978	0.000236	0.094162
13	0.142709	0.100543	0.159079	0.856791	0.000269	0.093691
14	0.143261	0.105738	0.173038	0.827087	0.000346	0.093223
15	0.145487	0.106664	0.164377	0.851176	0.000286	0.092757
16	0.145387	0.099890	0.157664	0.869466	0.000269	0.092293
17	0.145781	0.111436	0.156598	0.874329	0.000282	0.091832
18	0.145623	0.112089	0.154326	0.881856	0.000288	0.091372
19	0.145611	0.114893	0.153901	0.883443	0.000278	0.090916
20	0.146845	0.117466	0.153642	0.889832	0.000267	0.090461
21	0.147904	0.114341	0.153570	0.895162	0.000326	0.090009
22	0.148232	0.110989	0.154762	0.891276	0.000327	0.089559
23	0.149668	0.111954	0.159131	0.879964	0.000269	0.089111
24	0.147632	0.110216	0.153586	0.893758	0.000328	0.088665
25	0.149644	0.115816	0.157715	0.885173	0.000340	0.088222
26	0.149248	0.111646	0.155325	0.893494	0.000337	0.087781
27	0.148808	0.107610	0.153307	0.901184	0.000368	0.087342
28	0.149766	0.112221	0.158128	0.884074	0.000314	0.086905
29	0.151287	0.116589	0.172101	0.848450	0.000514	0.086471
30	0.152416	0.116387	0.161486	0.881999	0.000315	0.086038
31	0.150186	0.116798	0.170516	0.849223	0.000503	0.085608
32	0.152129	0.112282	0.169766	0.856323	0.000509	0.085180
33	0.155249	0.120342	0.163355	0.886190	0.000485	0.084754
34	0.155625	0.119554	0.164937	0.881816	0.000494	0.084331
35	0.156562	0.117786	0.167979	0.874959	0.000490	0.083909
36	0.155142	0.118243	0.170470	0.863180	0.000783	0.083489
37	0.157384	0.114727	0.173234	0.862386	0.000823	0.083072
38	0.158884	0.115735	0.172436	0.869080	0.000448	0.082657
39	0.159527	0.115295	0.171030	0.875366	0.000563	0.082243
40	0.157584	0.121203	0.169258	0.874390	0.000455	0.081832
41	0.159637	0.117255	0.173838	0.867432	0.000508	0.081423
42	0.158392	0.118795	0.184159	0.840190	0.000777	0.081016
43	0.159252	0.119930	0.171141	0.874105	0.000550	0.080611
44	0.158553	0.116274	0.171092	0.871969	0.000528	0.080208
45	0.158578	0.116530	0.181215	0.846680	0.000689	0.079807
46	0.160340	0.120043	0.171171	0.877686	0.000842	0.079408
47	0.160301	0.116864	0.170088	0.881144	0.000821	0.079010
48	0.160318	0.123826	0.171375	0.876953	0.000796	0.078615
49	0.160287	0.119062	0.169996	0.881409	0.000722	0.078222
50	0.163380	0.120034	0.174232	0.878276	0.000838	0.077831
51	0.161833	0.113759	0.171245	0.882751	0.000782	0.077442
52	0.161509	0.117522	0.175678	0.867981	0.000721	0.077055
53	0.163479	0.118062	0.174716	0.877075	0.000827	0.076670
54	0.163918	0.116825	0.174596	0.878947	0.000609	0.076286
55	0.166863	0.122317	0.176185	0.884054	0.000978	0.075905
56	0.166858	0.119316	0.175869	0.885132	0.000988	0.075525
57	0.166825	0.120718	0.175806	0.885234	0.000981	0.075148
58	0.166418	0.122919	0.175774	0.883850	0.001029	0.074772
59	0.164654	0.117237	0.174278	0.882589	0.001001	0.074398
60	0.168004	0.122180	0.173935	0.897319	0.001553	0.074026
61	0.170446	0.119068	0.176896	0.895487	0.001511	0.073656
62	0.173921	0.125405	0.185499	0.878194	0.001842	0.073288
63	0.174320	0.122058	0.188135	0.871887	0.001697	0.072921
64	0.172559	0.122508	0.184834	0.875854	0.001725	0.072557
65	0.173074	0.125790	0.178508	0.900269	0.001579	0.072194
66	0.169105	0.122043	0.186925	0.860474	0.001394	0.071833
67	0.172421	0.118682	0.187267	0.868713	0.001593	0.071474
68	0.175837	0.121020	0.198999	0.850505	0.001944	0.071116
69	0.174335	0.128994	0.199055	0.847005	0.001802	0.070761
70	0.173632	0.125867	0.185307	0.877848	0.001709	0.070407
71	0.175558	0.119803	0.186892	0.879252	0.001887	0.070055
72	0.175552	0.115276	0.197159	0.853638	0.001978	0.069705
73	0.174840	0.123594	0.198997	0.848246	0.001906	0.069356
74	0.184582	0.123828	0.196288	0.879862	0.002327	0.069009
75	0.181228	0.120738	0.191867	0.882446	0.002120	0.068664
76	0.179891	0.122319	0.190874	0.881144	0.001968	0.068321
77	0.179815	0.121029	0.189658	0.884705	0.002069	0.067979
78	0.182794	0.126261	0.195042	0.877970	0.002085	0.067639
79	0.181783	0.121896	0.185804	0.908162	0.002658	0.067301
80	0.182994	0.129152	0.192363	0.886800	0.002515	0.066965
81	0.183816	0.125393	0.194760	0.881978	0.002865	0.066630
82	0.187026	0.118720	0.191512	0.906453	0.002760	0.066297
83	0.185634	0.125078	0.195460	0.885763	0.002303	0.065965
84	0.199095	0.125332	0.220763	0.859090	0.002996	0.065635
85	0.198331	0.123447	0.219171	0.860596	0.002999	0.065307
86	0.198816	0.127777	0.220331	0.859334	0.003122	0.064981
87	0.201479	0.130123	0.220852	0.864299	0.003107	0.064656
88	0.196910	0.124479	0.217859	0.860067	0.002979	0.064333
89	0.197901	0.121791	0.210573	0.879537	0.004827	0.064011
90	0.194648	0.122633	0.215228	0.860331	0.002962	0.063691
91	0.200755	0.119618	0.213541	0.879720	0.005048	0.063372
92	0.199292	0.123058	0.211788	0.880249	0.004811	0.063056
93	0.196021	0.118794	0.211733	0.871460	0.004024	0.062740
94	0.198730	0.125812	0.211721	0.878825	0.004277	0.062427
95	0.204558	0.126225	0.219085	0.875916	0.003300	0.062114
96	0.209957	0.134823	0.218824	0.892476	0.003538	0.061804
97	0.209859	0.127325	0.223296	0.879537	0.005302	0.061495
98	0.218539	0.135472	0.234972	0.873840	0.004564	0.061187
99	0.214008	0.143995	0.232859	0.867818	0.004355	0.060881
100	0.214930	0.131807	0.231003	0.874044	0.004738	0.060577
101	0.220281	0.138532	0.235924	0.875916	0.004695	0.060274
102	0.221564	0.138174	0.238849	0.872477	0.005182	0.059973
103	0.213775	0.143644	0.231601	0.869954	0.004760	0.059673
104	0.217795	0.139379	0.234917	0.872192	0.005074	0.059375
105	0.219327	0.147250	0.237202	0.870829	0.004556	0.059078
106	0.223386	0.141937	0.238162	0.878418	0.004619	0.058782
107	0.220580	0.147040	0.257026	0.839396	0.006761	0.058488
108	0.223978	0.143183	0.247807	0.860067	0.004961	0.058196
109	0.230728	0.151479	0.251817	0.866353	0.005574	0.057905
110	0.224069	0.155093	0.245476	0.864563	0.004918	0.057615
111	0.224901	0.153436	0.244387	0.868469	0.006151	0.057327
112	0.227446	0.154154	0.250688	0.861776	0.004741	0.057041
113	0.226452	0.154086	0.260156	0.844645	0.005139	0.056756
114	0.227647	0.157754	0.248825	0.865641	0.005804	0.056472
115	0.229761	0.160379	0.260092	0.850403	0.005129	0.056189
116	0.235906	0.158144	0.276624	0.837138	0.006113	0.055908
117	0.235065	0.160636	0.268833	0.846375	0.005898	0.055629
118	0.239116	0.167262	0.276089	0.842753	0.006379	0.055351
119	0.234106	0.159593	0.255427	0.866496	0.005892	0.055074
120	0.229163	0.163861	0.252853	0.861287	0.005012	0.054799
121	0.241534	0.166306	0.264175	0.865336	0.006325	0.054525
122	0.235991	0.167805	0.268598	0.848246	0.005948	0.054252
123	0.240372	0.172693	0.271323	0.851562	0.007486	0.053981
124	0.244328	0.167268	0.260948	0.877441	0.006149	0.053711
125	0.242510	0.177424	0.262264	0.870850	0.006307	0.053442
126	0.245870	0.169733	0.268952	0.865275	0.008127	0.053175
127	0.248286	0.169758	0.270180	0.867778	0.007782	0.052909
128	0.246915	0.176659	0.279454	0.850484	0.010775	0.052645
129	0.256393	0.182717	0.292948	0.846741	0.007774	0.052381
130	0.273664	0.179749	0.312059	0.847514	0.009154	0.052120
131	0.270848	0.189041	0.315262	0.839783	0.009174	0.051859
132	0.271596	0.185350	0.314365	0.841838	0.009136	0.051600
133	0.276453	0.176175	0.318077	0.844076	0.009289	0.051342
134	0.268318	0.182849	0.305345	0.848307	0.008719	0.051085
135	0.278640	0.198516	0.326043	0.837891	0.009707	0.050830
136	0.271641	0.191700	0.315130	0.841003	0.009471	0.050575
137	0.275027	0.184904	0.317709	0.842570	0.009597	0.050322
138	0.280550	0.190832	0.328408	0.837748	0.009763	0.050071
139	0.269261	0.187229	0.316354	0.836446	0.010891	0.049821
140	0.272536	0.188223	0.320221	0.836426	0.009250	0.049571
141	0.271960	0.194353	0.307939	0.850301	0.008442	0.049324
142	0.269648	0.184510	0.315610	0.837789	0.009296	0.049077
143	0.289797	0.192947	0.322356	0.857707	0.009580	0.048832
144	0.282103	0.192974	0.312387	0.859680	0.009155	0.048587
145	0.267884	0.191171	0.298009	0.857666	0.008091	0.048344
146	0.278044	0.199107	0.328389	0.834615	0.009545	0.048103
147	0.278424	0.198474	0.317009	0.848104	0.009323	0.047862
148	0.278214	0.195782	0.317880	0.846741	0.009514	0.047623
149	0.282617	0.191830	0.316001	0.855489	0.009330	0.047385
150	0.285828	0.185789	0.324186	0.849630	0.009784	0.047148
151	0.275221	0.185790	0.321712	0.838257	0.009416	0.046912
152	0.279672	0.201173	0.307468	0.862935	0.009940	0.046678
153	0.277590	0.191218	0.326347	0.836222	0.010780	0.046444
154	0.277245	0.191891	0.318902	0.844177	0.008899	0.046212
155	0.282752	0.192544	0.322288	0.847677	0.009349	0.045981
156	0.280247	0.202455	0.327586	0.838257	0.010214	0.045751
157	0.284354	0.185112	0.309170	0.868184	0.009490	0.045522
158	0.287364	0.191807	0.321124	0.855733	0.011151	0.045295
159	0.299111	0.191430	0.358192	0.829915	0.011537	0.045068
160	0.290838	0.192599	0.344514	0.833598	0.011218	0.044843
161	0.288379	0.198459	0.319308	0.859721	0.009616	0.044619
162	0.293001	0.205782	0.321175	0.864299	0.010315	0.044396
163	0.283624	0.194895	0.325159	0.845439	0.011276	0.044174
164	0.289682	0.202244	0.330722	0.847046	0.010677	0.043953
165	0.286981	0.200862	0.325877	0.849162	0.009718	0.043733
166	0.286127	0.195061	0.324542	0.849609	0.010007	0.043514
167	0.297054	0.199439	0.339781	0.846313	0.010917	0.043297
168	0.292531	0.203660	0.323579	0.860168	0.010440	0.043080
169	0.292659	0.197891	0.362910	0.818807	0.011842	0.042865
170	0.297875	0.207272	0.341333	0.845622	0.011654	0.042650
171	0.295391	0.204581	0.328656	0.857605	0.010639	0.042437
172	0.289819	0.201979	0.324744	0.854594	0.011393	0.042225
173	0.294803	0.210513	0.326211	0.860006	0.010473	0.042014
174	0.283766	0.204410	0.327500	0.842916	0.010381	0.041804
175	0.290225	0.208769	0.322848	0.857686	0.011766	0.041595
176	0.296674	0.198754	0.383016	0.807048	0.013249	0.041387
177	0.297508	0.205486	0.337124	0.849996	0.011431	0.041180
178	0.301375	0.205720	0.337922	0.854309	0.011294	0.040974
179	0.297269	0.204774	0.359327	0.826843	0.011532	0.040769
180	0.301082	0.208988	0.338788	0.852844	0.011562	0.040565
181	0.302406	0.217437	0.337144	0.856730	0.011021	0.040362
182	0.307795	0.218366	0.357350	0.840719	0.011748	0.040161
183	0.308586	0.216799	0.369741	0.829732	0.012233	0.039960
184	0.308439	0.221667	0.363015	0.835836	0.012346	0.039760
185	0.311330	0.223268	0.366332	0.835917	0.012034	0.039561
186	0.303660	0.216081	0.342418	0.851969	0.011046	0.039363
187	0.312521	0.215417	0.346373	0.859294	0.011312	0.039167
188	0.310359	0.219957	0.339044	0.865906	0.011392	0.038971
189	0.305618	0.222565	0.333693	0.866150	0.011214	0.038776
190	0.306378	0.227974	0.370199	0.826965	0.012387	0.038582
191	0.324552	0.221629	0.360291	0.858582	0.012387	0.038389
192	0.315521	0.224970	0.339590	0.873311	0.011645	0.038197
193	0.317811	0.220957	0.358304	0.852051	0.012093	0.038006
194	0.309581	0.223131	0.346955	0.854513	0.011589	0.037816
195	0.310420	0.220117	0.348489	0.853800	0.011399	0.037627
196	0.316578	0.225080	0.358678	0.850057	0.012733	0.037439
197	0.315762	0.225553	0.355834	0.852234	0.011854	0.037252
198	0.311254	0.228591	0.342462	0.862569	0.011135	0.037066
199	0.313123	0.234423	0.390535	0.817057	0.013105	0.036880
200	0.331179	0.231028	0.368803	0.857218	0.012206	0.036696
201	0.321795	0.237093	0.375408	0.838969	0.012233	0.036512
202	0.327189	0.242221	0.379005	0.841553	0.012351	0.036330
203	0.316752	0.223003	0.341115	0.873006	0.011088	0.036148
204	0.325165	0.223495	0.354061	0.867472	0.011569	0.035967
