gen	best_combined	mean_combined	best_preq	best_gzip	best_id_base	sigma
0	0.113461	0.034246	0.159953	0.665751	0.000612	0.100000
1	0.177485	0.060921	0.181295	0.541219	0.000957	0.099500
2	0.205947	0.119375	0.209116	0.465047	0.001074	0.099003
3	0.207947	0.166698	0.211349	0.463969	0.001118	0.098507
4	0.208226	0.175171	0.213463	0.455424	0.001135	0.098015
5	0.209039	0.174878	0.212951	0.461487	0.001133	0.097525
6	0.207779	0.181693	0.212369	0.458191	0.001064	0.097037
7	0.209291	0.181349	0.217294	0.445211	0.001123	0.096552
8	0.209354	0.180597	0.217857	0.443563	0.001302	0.096069
9	0.210752	0.183282	0.213099	0.470235	0.001184	0.095589
10	0.210302	0.183602	0.212058	0.474202	0.001091	0.095111
11	0.210320	0.186676	0.215648	0.455261	0.001247	0.094635
12	0.212422	0.180758	0.219860	0.447530	0.001198	0.094162
13	0.211868	0.182459	0.212932	0.479980	0.001046	0.093691
14	0.213437	0.184515	0.215420	0.472799	0.001161	0.093223
15	0.213152	0.175441	0.214386	0.478516	0.001182	0.092757
16	0.216222	0.185835	0.220598	0.459961	0.001105	0.092293
17	0.217718	0.183937	0.223920	0.452596	0.001397	0.091832
18	0.213942	0.187877	0.214736	0.482788	0.001180	0.091372
19	0.218405	0.185499	0.220147	0.474792	0.001275	0.090916
20	0.215650	0.190561	0.221054	0.455505	0.001430	0.090461
21	0.216764	0.194189	0.218926	0.471822	0.001246	0.090009
22	0.216712	0.194823	0.221947	0.456299	0.001568	0.089559
23	0.218654	0.193133	0.225008	0.452128	0.001495	0.089111
24	0.218208	0.191076	0.221551	0.465129	0.001542	0.088665
25	0.218000	0.190481	0.222006	0.461833	0.001535	0.088222
26	0.218550	0.194690	0.223860	0.456177	0.001453	0.087781
27	0.219093	0.192568	0.227307	0.445740	0.001558	0.087342
28	0.219665	0.194479	0.221420	0.474772	0.001329	0.086905
29	0.219869	0.191522	0.222812	0.467387	0.001514	0.086471
30	0.221482	0.194488	0.230664	0.442993	0.001428	0.086038
31	0.223370	0.193471	0.229341	0.454061	0.001406	0.085608
32	0.221675	0.190363	0.221675	0.499593	0.001226	0.085180
33	0.221809	0.187460	0.228766	0.450297	0.001328	0.084754
34	0.224297	0.192246	0.225403	0.480164	0.001424	0.084331
35	0.228346	0.183529	0.230358	0.473511	0.001364	0.083909
36	0.225830	0.191022	0.228260	0.470744	0.001422	0.083489
37	0.224371	0.192809	0.231378	0.450399	0.001593	0.083072
38	0.223773	0.187499	0.233044	0.443014	0.001495	0.082657
39	0.226650	0.185860	0.228234	0.476400	0.001405	0.082243
40	0.228586	0.194162	0.230421	0.474711	0.001548	0.081832
41	0.228654	0.186444	0.230632	0.473755	0.001423	0.081423
42	0.228276	0.187149	0.236853	0.445679	0.001696	0.081016
43	0.230412	0.190675	0.231700	0.478882	0.001627	0.080611
44	0.229698	0.187878	0.230758	0.480815	0.001423	0.080208
45	0.233343	0.188753	0.233852	0.486796	0.001678	0.079807
46	0.231009	0.187055	0.231596	0.485758	0.001707	0.079408
47	0.231553	0.188221	0.235722	0.462219	0.001627	0.079010
48	0.233190	0.185892	0.238101	0.459167	0.001744	0.078615
49	0.233268	0.185883	0.233783	0.486715	0.001902	0.078222
50	0.233937	0.183601	0.238227	0.461873	0.002014	0.077831
51	0.233336	0.189706	0.238551	0.457947	0.001953	0.077442
52	0.234223	0.189821	0.240710	0.453247	0.002008	0.077055
53	0.234505	0.189265	0.235671	0.480082	0.001817	0.076670
54	0.234445	0.190971	0.234844	0.488342	0.001756	0.076286
55	0.238222	0.191524	0.241875	0.465108	0.002201	0.075905
56	0.238771	0.195526	0.242753	0.463623	0.002219	0.075525
57	0.237992	0.194186	0.242115	0.462931	0.002229	0.075148
58	0.238143	0.195301	0.241145	0.468343	0.002245	0.074772
59	0.239011	0.189523	0.243047	0.463399	0.002578	0.074398
60	0.238843	0.190605	0.242872	0.463420	0.002210	0.074026
61	0.240438	0.184206	0.241262	0.483459	0.002264	0.073656
62	0.241296	0.189321	0.243848	0.470988	0.002305	0.073288
63	0.242370	0.184423	0.247382	0.459534	0.002673	0.072921
64	0.242643	0.186694	0.250689	0.448914	0.002599	0.072557
65	0.243665	0.196606	0.248958	0.458537	0.002496	0.072194
66	0.243371	0.195562	0.247601	0.462870	0.002723	0.071833
67	0.243079	0.189507	0.248182	0.459229	0.002692	0.071474
68	0.243089	0.188790	0.248710	0.457235	0.002682	0.071116
69	0.243532	0.195139	0.245216	0.476522	0.002556	0.070761
70	0.243864	0.197032	0.248159	0.462626	0.002558	0.070407
71	0.244131	0.197055	0.248798	0.461080	0.002738	0.070055
72	0.245362	0.189524	0.252853	0.450948	0.002994	0.069705
73	0.244884	0.201038	0.253472	0.447489	0.002991	0.069356
74	0.246328	0.192389	0.249259	0.469238	0.002827	0.069009
75	0.245218	0.183546	0.253642	0.448018	0.002991	0.068664
76	0.245162	0.188957	0.247385	0.473124	0.002958	0.068321
77	0.245675	0.192863	0.250481	0.460632	0.002589	0.067979
78	0.246735	0.190938	0.251739	0.459920	0.002548	0.067639
79	0.246431	0.197327	0.248018	0.477336	0.002589	0.067301
80	0.245430	0.192555	0.247148	0.476379	0.002601	0.066965
81	0.246237	0.186942	0.247306	0.481384	0.002595	0.066630
82	0.246613	0.194463	0.252360	0.457072	0.002508	0.066297
83	0.246518	0.194460	0.253565	0.452515	0.002544	0.065965
84	0.246731	0.194492	0.248063	0.479248	0.002617	0.065635
85	0.247082	0.203061	0.252967	0.456604	0.002935	0.065307
86	0.249272	0.190493	0.252211	0.469381	0.003416	0.064981
87	0.250115	0.199677	0.252783	0.470866	0.003284	0.064656
88	0.249049	0.194056	0.252526	0.466695	0.003348	0.064333
89	0.248601	0.199522	0.251615	0.468953	0.003331	0.064011
90	0.250121	0.199120	0.253340	0.468018	0.003639	0.063691
91	0.249994	0.195614	0.253190	0.468119	0.003223	0.063372
92	0.249492	0.192304	0.253696	0.463440	0.003708	0.063056
93	0.252445	0.192811	0.256371	0.464864	0.003453	0.062740
94	0.250899	0.189227	0.256009	0.459839	0.003738	0.062427
95	0.252555	0.196145	0.256640	0.464172	0.003460	0.062114
96	0.251881	0.196630	0.255265	0.467326	0.003505	0.061804
97	0.253166	0.197422	0.256623	0.467061	0.003161	0.061495
98	0.251079	0.197075	0.256345	0.459249	0.003493	0.061187
99	0.252484	0.192408	0.260343	0.450480	0.003927	0.060881
100	0.252070	0.195383	0.256180	0.464030	0.003767	0.060577
101	0.251366	0.194211	0.256273	0.460673	0.003203	0.060274
102	0.252730	0.187442	0.257340	0.461975	0.003644	0.059973
103	0.253250	0.192024	0.257809	0.462219	0.003801	0.059673
104	0.252337	0.189437	0.257145	0.461141	0.004106	0.059375
105	0.253218	0.184244	0.257446	0.463603	0.003672	0.059078
106	0.253489	0.187696	0.256032	0.471741	0.003759	0.058782
107	0.253243	0.199137	0.256726	0.466939	0.003762	0.058488
108	0.254839	0.188085	0.257827	0.469462	0.003848	0.058196
109	0.254994	0.188437	0.260457	0.458822	0.003766	0.057905
110	0.253221	0.190892	0.257196	0.464701	0.003873	0.057615
111	0.255162	0.188353	0.260003	0.461222	0.003824	0.057327
112	0.252869	0.178702	0.258444	0.458232	0.003949	0.057041
113	0.253649	0.184302	0.257165	0.466817	0.003790	0.056756
114	0.253112	0.190054	0.258926	0.457377	0.003722	0.056472
115	0.254263	0.193531	0.259775	0.458577	0.004092	0.056189
116	0.253953	0.195644	0.259961	0.456746	0.003855	0.055908
117	0.255134	0.190691	0.260341	0.459798	0.004124	0.055629
118	0.254065	0.192252	0.259443	0.459066	0.003618	0.055351
119	0.253831	0.191122	0.258932	0.460103	0.004435	0.055074
120	0.255216	0.186410	0.261095	0.457316	0.004124	0.054799
121	0.254594	0.193499	0.257984	0.467468	0.004149	0.054525
122	0.254263	0.185637	0.260142	0.457235	0.004369	0.054252
123	0.255254	0.190703	0.262306	0.453308	0.004223	0.053981
124	0.255130	0.191552	0.258494	0.467631	0.003911	0.053711
125	0.254073	0.193193	0.257838	0.465698	0.003812	0.053442
126	0.255485	0.195927	0.259000	0.466939	0.004289	0.053175
127	0.256347	0.197960	0.259650	0.467997	0.004208	0.052909
128	0.256396	0.198025	0.261391	0.460714	0.004105	0.052645
129	0.255461	0.196640	0.261351	0.457296	0.003934	0.052381
130	0.256075	0.192428	0.260351	0.463603	0.004158	0.052120
131	0.256479	0.194631	0.262805	0.455851	0.004276	0.051859
132	0.255387	0.195284	0.262007	0.454753	0.004297	0.051600
133	0.256163	0.174414	0.264754	0.448629	0.004157	0.051342
134	0.257039	0.196632	0.261507	0.462870	0.004112	0.051085
135	0.256136	0.177754	0.262162	0.456868	0.004130	0.050830
136	0.256703	0.185211	0.260912	0.463928	0.004162	0.050575
137	0.256683	0.195727	0.262739	0.456807	0.004311	0.050322
138	0.257235	0.185459	0.261751	0.462687	0.004120	0.050071
139	0.256622	0.187279	0.263749	0.453186	0.004052	0.049821
140	0.256955	0.184752	0.261560	0.462301	0.004622	0.049571
141	0.259095	0.201422	0.263840	0.461894	0.004900	0.049324
142	0.258322	0.197386	0.263203	0.461304	0.004938	0.049077
143	0.259736	0.198687	0.263677	0.465291	0.005090	0.048832
144	0.259614	0.193238	0.263002	0.467794	0.005471	0.048587
145	0.258713	0.185657	0.267432	0.448507	0.005105	0.048344
146	0.259502	0.188356	0.263723	0.464071	0.005182	0.048103
147	0.258449	0.192951	0.268885	0.443726	0.005118	0.047862
148	0.257188	0.198536	0.269247	0.439453	0.005238	0.047623
149	0.260764	0.195187	0.269551	0.448507	0.005359	0.047385
150	0.258618	0.191086	0.267474	0.448100	0.005424	0.047148
151	0.261211	0.200732	0.270349	0.447550	0.005691	0.046912
152	0.260674	0.207447	0.264063	0.467855	0.006522	0.046678
153	0.262502	0.199522	0.264747	0.473897	0.006703	0.046444
154	0.261472	0.195298	0.264993	0.467285	0.006241	0.046212
155	0.264288	0.216936	0.264518	0.508341	0.009179	0.045981
156	0.268827	0.224151	0.269273	0.511515	0.011503	0.045751
157	0.269922	0.232988	0.269925	0.498983	0.009540	0.045522
158	0.274407	0.229102	0.274696	0.490824	0.010949	0.045295
159	0.279414	0.236409	0.280792	0.480164	0.012312	0.045068
160	0.286344	0.235732	0.287024	0.486226	0.013561	0.044843
161	0.285449	0.237772	0.285541	0.494914	0.012902	0.044619
162	0.282010	0.244030	0.282034	0.497375	0.014754	0.044396
163	0.296015	0.246998	0.298895	0.472168	0.013876	0.044174
164	0.298737	0.246479	0.299219	0.488647	0.018164	0.043953
165	0.303391	0.252406	0.303527	0.494019	0.018448	0.043733
166	0.303310	0.239832	0.303619	0.490967	0.020163	0.043514
167	0.347118	0.261000	0.347238	0.505269	0.065143	0.043297
168	0.393901	0.286571	0.393945	0.497009	0.085885	0.043080
