gen	best_combined	mean_combined	best_preq	best_gzip	best_id_base	sigma
0	0.030501	0.006094	0.107916	0.617940	0.000703	0.100000
1	0.164852	0.020584	0.212659	0.442729	0.001182	0.099500
2	0.234645	0.075650	0.236255	0.323385	0.001676	0.099003
3	0.245872	0.142619	0.247971	0.273926	0.001944	0.098507
4	0.246616	0.216444	0.247962	0.279134	0.001690	0.098015
5	0.247062	0.219628	0.249645	0.271159	0.001836	0.097525
6	0.246845	0.231820	0.249875	0.268758	0.002044	0.097037
7	0.246869	0.232734	0.248698	0.275696	0.002144	0.096552
8	0.247796	0.227230	0.251581	0.265177	0.002491	0.096069
9	0.248840	0.223709	0.251791	0.269287	0.002477	0.095589
10	0.248421	0.229455	0.252882	0.262268	0.002367	0.095111
11	0.247917	0.228435	0.253236	0.258789	0.002386	0.094635
12	0.248897	0.228267	0.252461	0.266276	0.002411	0.094162
13	0.249066	0.230055	0.251362	0.272909	0.002204	0.093691
14	0.248405	0.220524	0.250558	0.273722	0.002540	0.093223
15	0.250038	0.227997	0.252470	0.272176	0.002255	0.092757
16	0.250507	0.226923	0.254239	0.265605	0.002483	0.092293
17	0.250175	0.226494	0.251313	0.280945	0.002441	0.091832
18	0.251538	0.224520	0.255357	0.265279	0.002581	0.091372
19	0.251864	0.224101	0.258893	0.253072	0.002564	0.090916
20	0.252103	0.224571	0.254278	0.273783	0.002792	0.090461
21	0.252968	0.217972	0.255968	0.269287	0.002733	0.090009
22	0.253389	0.219750	0.255497	0.274251	0.002865	0.089559
23	0.254351	0.223019	0.259577	0.259664	0.003168	0.089111
24	0.255247	0.222527	0.260961	0.257914	0.003065	0.088665
25	0.256010	0.218543	0.261625	0.258341	0.003097	0.088222
26	0.257785	0.226878	0.258314	0.287191	0.002798	0.087781
27	0.257199	0.225919	0.259999	0.270569	0.003031	0.087342
28	0.261260	0.223476	0.263383	0.274556	0.003008	0.086905
29	0.259888	0.222832	0.261106	0.280660	0.003313	0.086471
30	0.259787	0.226285	0.261000	0.280701	0.003232	0.086038
31	0.261001	0.224911	0.262250	0.280457	0.003225	0.085608
32	0.261267	0.225676	0.265545	0.263957	0.003838	0.085180
33	0.264153	0.224659	0.264854	0.285441	0.003497	0.084754
34	0.264629	0.225700	0.265506	0.283732	0.003364	0.084331
35	0.268157	0.226737	0.268931	0.284810	0.003652	0.083909
36	0.268171	0.223103	0.269654	0.278992	0.003650	0.083489
37	0.267551	0.227382	0.270463	0.270569	0.003904	0.083072
38	0.268663	0.223224	0.271527	0.270874	0.003560	0.082657
39	0.269391	0.230490	0.271054	0.277812	0.003652	0.082243
40	0.271085	0.232435	0.273356	0.274170	0.003887	0.081832
41	0.270548	0.228627	0.272817	0.274150	0.004414	0.081423
42	0.271441	0.228040	0.273528	0.275248	0.003982	0.081016
43	0.270721	0.234668	0.273424	0.271810	0.004203	0.080611
44	0.269934	0.229219	0.273200	0.268982	0.004136	0.080208
45	0.271469	0.228987	0.274074	0.272359	0.004332	0.079807
46	0.271314	0.227602	0.275419	0.265340	0.004350	0.079408
47	0.271263	0.228591	0.273839	0.272502	0.004230	0.079010
48	0.272451	0.231145	0.275167	0.271830	0.004291	0.078615
49	0.272063	0.232876	0.274454	0.273539	0.004377	0.078222
50	0.272674	0.230687	0.275448	0.271545	0.004618	0.077831
51	0.273357	0.221917	0.275809	0.273275	0.004443	0.077442
52	0.272837	0.228255	0.274676	0.276815	0.004170	0.077055
53	0.272666	0.226698	0.276071	0.268494	0.005141	0.076670
54	0.272868	0.231318	0.275867	0.270426	0.004736	0.076286
55	0.273699	0.228827	0.275741	0.275614	0.004787	0.075905
56	0.274531	0.235722	0.277879	0.268860	0.005571	0.075525
57	0.274655	0.232679	0.277509	0.271240	0.004952	0.075148
58	0.275180	0.226277	0.282653	0.253703	0.005383	0.074772
59	0.275741	0.233093	0.279933	0.265259	0.005307	0.074398
60	0.275837	0.229120	0.278539	0.272074	0.005805	0.074026
61	0.276656	0.230059	0.277706	0.282593	0.007118	0.073656
62	0.276124	0.233322	0.278068	0.276306	0.006078	0.073288
63	0.276654	0.234441	0.279297	0.272420	0.006106	0.072921
64	0.276510	0.229214	0.279923	0.268677	0.005518	0.072557
65	0.277194	0.238138	0.283926	0.256185	0.005786	0.072194
66	0.276859	0.228535	0.284138	0.254435	0.005882	0.071833
67	0.278009	0.225132	0.284584	0.256755	0.006043	0.071474
68	0.283647	0.233016	0.283665	0.302205	0.019962	0.071116
69	0.301149	0.232877	0.301152	0.300761	0.026353	0.070761
70	0.316512	0.241465	0.317086	0.312032	0.021862	0.070407
71	0.337578	0.261218	0.337715	0.294291	0.026652	0.070055
72	0.389306	0.286760	0.389545	0.292989	0.036874	0.069705
73	0.394882	0.312429	0.395126	0.292969	0.037654	0.069356
74	0.397833	0.326190	0.402044	0.270976	0.041690	0.069009
75	0.452203	0.348411	0.454173	0.318644	0.042010	0.068664
76	0.472134	0.369075	0.477652	0.269511	0.051421	0.068321
77	0.481404	0.393653	0.492161	0.257955	0.053814	0.067979
78	0.494630	0.422031	0.499175	0.272949	0.054764	0.067639
79	0.513463	0.452749	0.527307	0.253866	0.058347	0.067301
80	0.538112	0.468243	0.553210	0.252950	0.063392	0.066965
81	0.550367	0.480835	0.560618	0.261576	0.063252	0.066630
82	0.571957	0.508287	0.574411	0.281494	0.063445	0.066297
83	0.586022	0.521258	0.593636	0.267863	0.067644	0.065965
84	0.618017	0.547033	0.621036	0.280253	0.068325	0.065635
85	0.631630	0.564827	0.635688	0.277364	0.071099	0.065307
86	0.687844	0.590114	0.693705	0.273946	0.073909	0.064981
87	0.703991	0.611600	0.705791	0.285706	0.078954	0.064656
88	0.708599	0.638207	0.725487	0.256592	0.080790	0.064333
89	0.741828	0.666130	0.741828	0.299886	0.081599	0.064011
90	0.765679	0.681465	0.765914	0.295044	0.079359	0.063691
91	0.784711	0.712173	0.798755	0.262329	0.088098	0.063372
92	0.797172	0.735276	0.818915	0.253601	0.090888	0.063056
93	0.814840	0.750857	0.828795	0.263143	0.094164	0.062740
94	0.837397	0.769693	0.845600	0.272074	0.095550	0.062427
95	0.869907	0.795321	0.890936	0.256287	0.099629	0.062114
96	0.905098	0.816140	0.924228	0.259094	0.104623	0.061804
97	0.935068	0.848277	0.961836	0.252482	0.109238	0.061495
98	0.960867	0.869956	0.971575	0.270223	0.107762	0.061187
99	0.975341	0.903873	1.006919	0.249512	0.113396	0.060881
100	0.999111	0.921745	1.040370	0.243103	0.118053	0.060577
101	1.012269	0.947404	1.039343	0.254049	0.118597	0.060274
102	1.042790	0.960769	1.071690	0.253235	0.122338	0.059973
103	1.074395	0.970088	1.120728	0.241882	0.127874	0.059673
104	1.069357	0.965887	1.096514	0.255208	0.125418	0.059375
105	1.092159	1.002371	1.098950	0.277730	0.127368	0.059078
106	1.107743	1.009136	1.122993	0.266927	0.131143	0.058782
