gen	best_combined	mean_combined	best_preq	best_gzip	best_id_base	sigma
0	0.086318	0.050118	0.127541	0.773275	0.000225	0.100000
1	0.089205	0.061226	0.131311	0.774129	0.000228	0.099500
2	0.091277	0.069334	0.123432	0.794617	0.000191	0.099003
3	0.092545	0.071593	0.121073	0.803385	0.000144	0.098507
4	0.089450	0.073420	0.111799	0.816427	0.000096	0.098015
5	0.092894	0.072447	0.129076	0.787781	0.000199	0.097525
6	0.092389	0.074068	0.140989	0.766113	0.000301	0.097037
7	0.091228	0.074803	0.129225	0.783101	0.000213	0.096552
8	0.093754	0.074204	0.123917	0.800618	0.000200	0.096069
9	0.093398	0.076167	0.132309	0.783081	0.000249	0.095589
10	0.092291	0.073981	0.134925	0.775696	0.000238	0.095111
11	0.095252	0.072451	0.139812	0.774780	0.000309	0.094635
12	0.094318	0.075234	0.132446	0.785197	0.000210	0.094162
13	0.094021	0.076444	0.140798	0.770264	0.000273	0.093691
14	0.096060	0.074756	0.135850	0.783488	0.000232	0.093223
15	0.095144	0.075722	0.128641	0.794657	0.000240	0.092757
16	0.096331	0.077765	0.138086	0.780273	0.000243	0.092293
17	0.095497	0.077883	0.128753	0.795390	0.000231	0.091832
18	0.095484	0.078331	0.131313	0.790344	0.000260	0.091372
19	0.098777	0.078554	0.131976	0.797750	0.000262	0.090916
20	0.098427	0.077329	0.129651	0.801534	0.000256	0.090461
21	0.098456	0.075971	0.135378	0.790385	0.000359	0.090009
22	0.097628	0.077317	0.129540	0.799581	0.000357	0.089559
23	0.096750	0.076772	0.134378	0.787882	0.000277	0.089111
24	0.095799	0.076035	0.133531	0.787008	0.000265	0.088665
25	0.097872	0.078756	0.134150	0.791178	0.000391	0.088222
26	0.097393	0.075462	0.135753	0.787008	0.000268	0.087781
27	0.097537	0.079169	0.130714	0.796956	0.000331	0.087342
28	0.099963	0.076598	0.127544	0.810384	0.000326	0.086905
29	0.097862	0.078971	0.132474	0.794352	0.000353	0.086471
30	0.098339	0.076789	0.129301	0.802022	0.000381	0.086038
31	0.101589	0.077290	0.134467	0.800232	0.000397	0.085608
32	0.099787	0.076094	0.132072	0.800252	0.000390	0.085180
33	0.101429	0.076821	0.133929	0.800883	0.000322	0.084754
34	0.102450	0.080053	0.136524	0.798442	0.000430	0.084331
35	0.102352	0.076681	0.148360	0.777669	0.000430	0.083909
36	0.103800	0.077842	0.141751	0.792114	0.000490	0.083489
37	0.101972	0.076646	0.146173	0.780273	0.000433	0.083072
38	0.101964	0.077058	0.144764	0.782552	0.000441	0.082657
39	0.103852	0.079272	0.145456	0.785828	0.000495	0.082243
40	0.102491	0.077329	0.141884	0.788696	0.000387	0.081832
41	0.104358	0.075999	0.148950	0.781291	0.000450	0.081423
42	0.105887	0.079975	0.144903	0.791585	0.000496	0.081016
43	0.102361	0.080862	0.128771	0.814494	0.000411	0.080611
44	0.103069	0.077356	0.137327	0.798482	0.000508	0.080208
45	0.106175	0.081838	0.138749	0.803691	0.000494	0.079807
46	0.102661	0.077955	0.133859	0.804301	0.000511	0.079408
47	0.103290	0.081184	0.135647	0.802348	0.000505	0.079010
48	0.103649	0.079606	0.138314	0.798075	0.000502	0.078615
49	0.105692	0.082041	0.137985	0.803955	0.000484	0.078222
50	0.105997	0.081354	0.146366	0.789327	0.000510	0.077831
51	0.104745	0.080213	0.143944	0.790527	0.000496	0.077442
52	0.105077	0.080179	0.138799	0.800781	0.000604	0.077055
53	0.103154	0.080550	0.134561	0.804179	0.000511	0.076670
54	0.103189	0.080488	0.141668	0.790771	0.000744	0.076286
55	0.105176	0.083140	0.135746	0.807129	0.000446	0.075905
56	0.105755	0.080546	0.145308	0.790568	0.000724	0.075525
57	0.106900	0.084916	0.145100	0.793660	0.000439	0.075148
58	0.108148	0.088214	0.141359	0.803630	0.000459	0.074772
59	0.105185	0.085049	0.138761	0.801127	0.000509	0.074398
60	0.109245	0.086091	0.161329	0.773397	0.000694	0.074026
61	0.107533	0.085127	0.147096	0.791687	0.000790	0.073656
62	0.109119	0.089242	0.160740	0.773966	0.000550	0.073288
63	0.108801	0.087889	0.139777	0.808431	0.000439	0.072921
64	0.108502	0.085298	0.151375	0.786784	0.000516	0.072557
65	0.112329	0.088404	0.144277	0.808492	0.000441	0.072194
66	0.108882	0.087401	0.138093	0.812113	0.000438	0.071833
67	0.110681	0.090653	0.141109	0.810608	0.001007	0.071474
68	0.111696	0.087029	0.143744	0.807943	0.000445	0.071116
69	0.111664	0.089840	0.154091	0.789490	0.000922	0.070761
70	0.114248	0.088958	0.147487	0.807068	0.000873	0.070407
71	0.111213	0.088854	0.147826	0.799113	0.000939	0.070055
72	0.113333	0.085892	0.149806	0.800598	0.000619	0.069705
73	0.114577	0.083970	0.149997	0.803202	0.000625	0.069356
74	0.113729	0.088056	0.148445	0.804016	0.000626	0.069009
75	0.112917	0.088644	0.141119	0.816447	0.001298	0.068664
76	0.115773	0.085810	0.160180	0.788839	0.001173	0.068321
77	0.117948	0.089569	0.144595	0.822347	0.001177	0.067979
78	0.121127	0.088304	0.149133	0.821004	0.001195	0.067639
79	0.117796	0.094217	0.145375	0.820272	0.001244	0.067301
80	0.120458	0.094209	0.159613	0.799947	0.001233	0.066965
81	0.118392	0.093113	0.151966	0.808675	0.001309	0.066630
82	0.118163	0.092170	0.156824	0.799520	0.001299	0.066297
83	0.121284	0.093920	0.163482	0.795451	0.001281	0.065965
84	0.120859	0.095855	0.171532	0.782633	0.001317	0.065635
85	0.122415	0.089108	0.157368	0.808248	0.001361	0.065307
