step	preq_length	mse_floor	identity_baseline	marg_baseline
0	0.171619	0.000594	0.000780	0.070592
1	0.178765	0.000734	0.000962	0.068784
2	0.197438	0.000895	0.001095	0.061115
3	0.207877	0.001052	0.001251	0.055987
4	0.213019	0.001200	0.001421	0.054422
5	0.227136	0.001356	0.001514	0.047116
6	0.227057	0.001529	0.001737	0.047959
7	0.235915	0.001655	0.001840	0.041327
8	0.240975	0.001812	0.001972	0.038934
9	0.241056	0.001973	0.002159	0.040032
10	0.244892	0.002120	0.002300	0.036627
11	0.247898	0.002262	0.002445	0.034829
12	0.250455	0.002408	0.002593	0.032902
13	0.254102	0.002565	0.002759	0.031057
14	0.256044	0.002709	0.002894	0.028978
15	0.257516	0.002834	0.003037	0.027822
16	0.257577	0.002996	0.003185	0.029187
17	0.260315	0.003127	0.003333	0.026491
18	0.261012	0.003290	0.003510	0.025868
19	0.262635	0.003414	0.003664	0.025182
20	0.265104	0.003503	0.003688	0.021849
21	0.266165	0.003658	0.003854	0.021799
22	0.266556	0.003808	0.004014	0.021320
23	0.265846	0.003928	0.004179	0.022995
24	0.268629	0.004042	0.004246	0.019645
25	0.268421	0.004120	0.004347	0.020569
26	0.269953	0.004299	0.004533	0.019312
27	0.271377	0.004346	0.004559	0.017934
28	0.271287	0.004552	0.004789	0.018413
29	0.271070	0.004543	0.004760	0.019373
30	0.272040	0.004745	0.005001	0.018211
31	0.273472	0.004808	0.005035	0.016989
32	0.273921	0.004883	0.005102	0.016510
33	0.275196	0.004951	0.005173	0.015543
34	0.275582	0.005000	0.005200	0.014833
35	0.275570	0.005179	0.005425	0.015265
36	0.275416	0.005247	0.005491	0.015920
37	0.275613	0.005421	0.005682	0.016073
38	0.276725	0.005419	0.005702	0.015948
39	0.276532	0.005509	0.005748	0.014904
40	0.277387	0.005593	0.005830	0.014667
41	0.277651	0.005721	0.005981	0.014275
42	0.278585	0.005690	0.005926	0.013104
43	0.277172	0.005858	0.006148	0.015711
44	0.278291	0.005853	0.006078	0.013855
45	0.279180	0.006041	0.006326	0.013711
46	0.278421	0.006194	0.006518	0.015779
47	0.279689	0.006199	0.006474	0.013317
48	0.278582	0.006370	0.006714	0.015914
49	0.279665	0.006252	0.006521	0.013748
50	0.280607	0.006460	0.006773	0.013216
51	0.280555	0.006578	0.006890	0.013182
52	0.281050	0.006551	0.006847	0.012805
